SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.645,0.016,0.010
0.303,0.646,0.017,0.011
0.306,0.646,0.015,0.010
0.309,0.646,0.015,0.010
0.312,0.646,0.015,0.010
0.315,0.645,0.015,0.010
0.318,0.645,0.016,0.010
0.321,0.645,0.018,0.011
0.324,0.644,0.021,0.014
0.327,0.644,0.025,0.016
0.330,0.643,0.030,0.020
0.333,0.643,0.039,0.025
0.336,0.642,0.049,0.031
0.339,0.641,0.065,0.042
0.342,0.639,0.089,0.057
0.345,0.638,0.109,0.070
0.348,0.636,0.151,0.096
0.351,0.634,0.189,0.120
0.354,0.631,0.246,0.155
0.357,0.628,0.304,0.191
0.360,0.623,0.415,0.259
0.363,0.617,0.526,0.325
0.366,0.610,0.662,0.404
0.369,0.599,0.850,0.510
0.372,0.585,1.101,0.644
0.375,0.573,1.296,0.743
0.378,0.553,1.598,0.883
0.381,0.519,1.957,1.015
0.384,0.469,2.255,1.057
0.387,0.353,2.503,0.884
0.390,0.202,2.523,0.509
0.393,0.150,2.522,0.379
0.396,0.125,2.523,0.317
0.399,0.111,2.524,0.279
0.402,0.102,2.520,0.257
0.405,0.096,2.524,0.243
0.408,0.091,2.520,0.230
0.411,0.087,2.520,0.220
0.414,0.085,2.525,0.215
0.417,0.083,2.522,0.209
0.420,0.081,2.526,0.204
0.423,0.079,2.523,0.200
0.426,0.078,2.526,0.197
0.429,0.077,2.526,0.194
0.432,0.076,2.523,0.192
0.435,0.075,2.525,0.190
0.438,0.075,2.523,0.189
0.441,0.074,2.518,0.186
0.444,0.073,2.522,0.185
0.447,0.073,2.520,0.184
0.450,0.073,2.519,0.183
0.450,0.073,2.524,0.183
0.447,0.073,2.519,0.185
0.444,0.074,2.520,0.186
0.441,0.074,2.528,0.188
0.438,0.075,2.521,0.189
0.435,0.076,2.524,0.192
0.432,0.077,2.521,0.194
0.429,0.078,2.519,0.196
0.426,0.079,2.525,0.200
0.423,0.080,2.521,0.203
0.420,0.082,2.526,0.208
0.417,0.084,2.526,0.213
0.414,0.087,2.524,0.220
0.411,0.091,2.525,0.229
0.408,0.096,2.523,0.242
0.405,0.102,2.523,0.257
0.402,0.112,2.526,0.284
0.399,0.126,2.516,0.317
0.396,0.149,2.521,0.376
0.393,0.193,2.514,0.486
0.390,0.289,2.501,0.724
0.387,0.445,2.391,1.063
0.384,0.508,2.016,1.023
0.381,0.538,1.679,0.904
0.378,0.562,1.342,0.753
0.375,0.578,1.065,0.615
0.372,0.589,0.875,0.516
0.369,0.597,0.715,0.427
0.366,0.605,0.555,0.336
0.363,0.611,0.431,0.263
0.360,0.615,0.351,0.216
0.357,0.619,0.256,0.158
0.354,0.622,0.197,0.123
0.351,0.624,0.152,0.095
0.348,0.626,0.118,0.074
0.345,0.627,0.083,0.052
0.342,0.627,0.066,0.042
0.339,0.628,0.053,0.033
0.336,0.628,0.040,0.025
0.333,0.628,0.032,0.020
0.330,0.629,0.026,0.017
0.327,0.629,0.023,0.014
0.324,0.629,0.018,0.011
0.321,0.629,0.017,0.011
0.318,0.629,0.016,0.010
0.315,0.629,0.016,0.010
0.312,0.628,0.015,0.009
0.309,0.628,0.017,0.011
0.306,0.628,0.015,0.010
0.303,0.628,0.018,0.011
0.300,0.628,0.015,0.009
TERMINATE SCAN MODE
