SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.650,0.015,0.010
0.303,0.650,0.015,0.010
0.306,0.650,0.015,0.010
0.309,0.650,0.015,0.010
0.312,0.650,0.015,0.010
0.315,0.649,0.015,0.010
0.318,0.649,0.016,0.011
0.321,0.649,0.018,0.012
0.324,0.648,0.022,0.014
0.327,0.648,0.025,0.016
0.330,0.648,0.032,0.020
0.333,0.647,0.039,0.025
0.336,0.647,0.051,0.033
0.339,0.646,0.066,0.043
0.342,0.645,0.087,0.056
0.345,0.644,0.108,0.069
0.348,0.642,0.146,0.094
0.351,0.641,0.189,0.121
0.354,0.639,0.247,0.158
0.357,0.636,0.301,0.191
0.360,0.632,0.420,0.265
0.363,0.628,0.530,0.333
0.366,0.622,0.669,0.416
0.369,0.614,0.866,0.532
0.372,0.604,1.092,0.659
0.375,0.593,1.302,0.772
0.378,0.575,1.608,0.924
0.381,0.541,1.962,1.061
0.384,0.481,2.256,1.085
0.387,0.336,2.450,0.822
0.390,0.189,2.455,0.465
0.393,0.144,2.455,0.354
0.396,0.121,2.455,0.298
0.399,0.107,2.459,0.263
0.402,0.099,2.454,0.244
0.405,0.094,2.462,0.230
0.408,0.089,2.461,0.220
0.411,0.085,2.459,0.210
0.414,0.083,2.463,0.205
0.417,0.081,2.460,0.199
0.420,0.079,2.460,0.195
0.423,0.078,2.461,0.191
0.426,0.077,2.456,0.188
0.429,0.075,2.461,0.185
0.432,0.074,2.458,0.182
0.435,0.074,2.455,0.181
0.438,0.073,2.459,0.179
0.441,0.072,2.455,0.177
0.444,0.072,2.457,0.177
0.447,0.071,2.457,0.175
0.450,0.071,2.458,0.174
0.450,0.071,2.460,0.175
0.447,0.072,2.456,0.176
0.444,0.072,2.458,0.178
0.441,0.073,2.458,0.179
0.438,0.073,2.454,0.180
0.435,0.074,2.457,0.182
0.432,0.075,2.456,0.185
0.429,0.076,2.454,0.188
0.426,0.078,2.456,0.191
0.423,0.079,2.455,0.193
0.420,0.081,2.457,0.199
0.417,0.083,2.461,0.203
0.414,0.085,2.455,0.209
0.411,0.089,2.460,0.219
0.408,0.094,2.459,0.232
0.405,0.099,2.457,0.244
0.402,0.109,2.459,0.269
0.399,0.123,2.453,0.302
0.396,0.147,2.456,0.361
0.393,0.197,2.453,0.484
0.390,0.308,2.437,0.750
0.387,0.465,2.344,1.089
0.384,0.541,1.960,1.060
0.381,0.568,1.624,0.923
0.378,0.588,1.294,0.760
0.375,0.600,1.045,0.627
0.372,0.609,0.846,0.515
0.369,0.615,0.690,0.424
0.366,0.621,0.538,0.334
0.363,0.625,0.435,0.272
0.360,0.628,0.345,0.216
0.357,0.631,0.252,0.159
0.354,0.633,0.196,0.124
0.351,0.634,0.152,0.097
0.348,0.636,0.116,0.074
0.345,0.637,0.082,0.052
0.342,0.637,0.066,0.042
0.339,0.637,0.050,0.032
0.336,0.638,0.039,0.025
0.333,0.638,0.031,0.020
0.330,0.638,0.026,0.017
0.327,0.638,0.022,0.014
0.324,0.639,0.017,0.011
0.321,0.638,0.016,0.010
0.318,0.638,0.015,0.010
0.315,0.638,0.015,0.009
0.312,0.638,0.017,0.011
0.309,0.638,0.015,0.010
0.306,0.638,0.015,0.009
0.303,0.638,0.015,0.009
0.300,0.638,0.017,0.011
TERMINATE SCAN MODE
