SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.680,0.016,0.011
0.303,0.679,0.016,0.011
0.306,0.679,0.015,0.010
0.309,0.679,0.015,0.010
0.312,0.678,0.015,0.010
0.315,0.678,0.015,0.010
0.318,0.678,0.017,0.011
0.321,0.678,0.018,0.012
0.324,0.677,0.021,0.014
0.327,0.677,0.025,0.017
0.330,0.676,0.034,0.023
0.333,0.676,0.038,0.026
0.336,0.676,0.050,0.034
0.339,0.675,0.065,0.044
0.342,0.674,0.085,0.058
0.345,0.673,0.111,0.074
0.348,0.672,0.147,0.099
0.351,0.671,0.190,0.127
0.354,0.669,0.248,0.166
0.357,0.666,0.318,0.212
0.360,0.663,0.417,0.277
0.363,0.659,0.533,0.352
0.366,0.655,0.678,0.444
0.369,0.648,0.869,0.563
0.372,0.640,1.083,0.693
0.375,0.629,1.345,0.846
0.378,0.613,1.658,1.017
0.381,0.587,2.042,1.199
0.384,0.537,2.435,1.306
0.387,0.342,2.608,0.891
0.390,0.197,2.615,0.514
0.393,0.148,2.610,0.385
0.396,0.124,2.614,0.325
0.399,0.111,2.614,0.290
0.402,0.101,2.613,0.265
0.405,0.095,2.613,0.249
0.408,0.091,2.611,0.236
0.411,0.087,2.611,0.227
0.414,0.084,2.613,0.219
0.417,0.082,2.610,0.213
0.420,0.080,2.617,0.209
0.423,0.078,2.615,0.205
0.426,0.077,2.612,0.201
0.429,0.076,2.618,0.199
0.432,0.075,2.615,0.196
0.435,0.074,2.615,0.194
0.438,0.074,2.616,0.193
0.441,0.073,2.611,0.191
0.444,0.072,2.613,0.189
0.447,0.072,2.614,0.188
0.450,0.072,2.610,0.187
0.450,0.071,2.611,0.186
0.447,0.072,2.608,0.187
0.444,0.072,2.612,0.188
0.441,0.073,2.614,0.190
0.438,0.073,2.612,0.192
0.435,0.074,2.613,0.194
0.432,0.075,2.609,0.196
0.429,0.076,2.610,0.198
0.426,0.077,2.616,0.202
0.423,0.078,2.610,0.204
0.420,0.080,2.610,0.209
0.417,0.082,2.612,0.214
0.414,0.084,2.611,0.220
0.411,0.087,2.610,0.227
0.408,0.091,2.611,0.237
0.405,0.096,2.611,0.250
0.402,0.102,2.615,0.266
0.399,0.112,2.611,0.291
0.396,0.126,2.612,0.329
0.393,0.151,2.607,0.392
0.390,0.204,2.605,0.532
0.387,0.367,2.604,0.956
0.384,0.537,2.389,1.282
0.381,0.582,2.014,1.173
0.378,0.607,1.644,0.999
0.375,0.622,1.339,0.833
0.372,0.633,1.084,0.686
0.369,0.641,0.869,0.557
0.366,0.647,0.676,0.437
0.363,0.652,0.537,0.350
0.360,0.655,0.419,0.275
0.357,0.658,0.319,0.210
0.354,0.660,0.247,0.163
0.351,0.662,0.192,0.127
0.348,0.663,0.148,0.098
0.345,0.664,0.112,0.074
0.342,0.664,0.085,0.056
0.339,0.665,0.067,0.044
0.336,0.665,0.050,0.033
0.333,0.665,0.041,0.027
0.330,0.665,0.034,0.022
0.327,0.665,0.026,0.017
0.324,0.665,0.022,0.014
0.321,0.665,0.018,0.012
0.318,0.665,0.016,0.011
0.315,0.665,0.016,0.010
0.312,0.665,0.015,0.010
0.309,0.665,0.015,0.010
0.306,0.665,0.015,0.010
0.303,0.665,0.016,0.010
0.300,0.665,0.015,0.010
TERMINATE SCAN MODE
