SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.688,0.015,0.010
0.303,0.687,0.015,0.010
0.306,0.687,0.015,0.011
0.309,0.687,0.015,0.010
0.312,0.687,0.016,0.011
0.315,0.686,0.017,0.012
0.318,0.686,0.016,0.011
0.321,0.686,0.019,0.013
0.324,0.686,0.022,0.015
0.327,0.685,0.026,0.018
0.330,0.684,0.032,0.022
0.333,0.684,0.039,0.027
0.336,0.683,0.051,0.035
0.339,0.683,0.068,0.046
0.342,0.682,0.085,0.058
0.345,0.680,0.114,0.078
0.348,0.678,0.151,0.102
0.351,0.677,0.191,0.129
0.354,0.674,0.254,0.171
0.357,0.670,0.332,0.222
0.360,0.665,0.433,0.288
0.363,0.659,0.559,0.368
0.366,0.653,0.679,0.443
0.369,0.641,0.882,0.565
0.372,0.626,1.082,0.677
0.375,0.611,1.300,0.795
0.378,0.574,1.603,0.920
0.381,0.508,1.864,0.947
0.384,0.430,2.043,0.878
0.387,0.319,2.229,0.711
0.390,0.223,2.324,0.519
0.393,0.161,2.367,0.381
0.396,0.135,2.388,0.323
0.399,0.116,2.404,0.279
0.402,0.105,2.405,0.253
0.405,0.100,2.413,0.241
0.408,0.095,2.412,0.228
0.411,0.090,2.416,0.218
0.414,0.090,2.415,0.216
0.417,0.087,2.416,0.210
0.420,0.084,2.422,0.203
0.423,0.083,2.423,0.200
0.426,0.081,2.419,0.197
0.429,0.080,2.425,0.194
0.432,0.079,2.421,0.192
0.435,0.078,2.421,0.190
0.438,0.078,2.426,0.189
0.441,0.077,2.425,0.188
0.444,0.077,2.426,0.187
0.447,0.077,2.427,0.186
0.450,0.076,2.427,0.185
0.450,0.077,2.428,0.187
0.447,0.079,2.424,0.191
0.444,0.081,2.423,0.197
0.441,0.084,2.421,0.204
0.438,0.088,2.412,0.211
0.435,0.093,2.413,0.226
0.432,0.102,2.407,0.246
0.429,0.118,2.395,0.282
0.426,0.152,2.370,0.361
0.423,0.212,2.325,0.493
0.420,0.218,2.317,0.505
0.417,0.349,2.164,0.755
0.414,0.398,2.089,0.832
0.411,0.450,2.034,0.915
0.408,0.558,1.651,0.920
0.405,0.579,1.512,0.875
0.402,0.541,1.680,0.909
0.399,0.576,1.548,0.893
0.396,0.608,1.314,0.799
0.393,0.624,1.110,0.692
0.390,0.653,0.606,0.396
0.387,0.667,0.327,0.218
0.384,0.671,0.223,0.150
0.381,0.676,0.111,0.075
0.378,0.678,0.061,0.041
0.375,0.679,0.043,0.029
0.372,0.679,0.031,0.021
0.369,0.680,0.027,0.018
0.366,0.680,0.024,0.016
0.363,0.680,0.023,0.016
0.360,0.680,0.023,0.015
0.357,0.680,0.020,0.014
0.354,0.680,0.019,0.013
0.351,0.680,0.016,0.011
0.348,0.680,0.017,0.011
0.345,0.680,0.015,0.010
0.342,0.680,0.015,0.010
0.339,0.680,0.016,0.011
0.336,0.680,0.016,0.011
0.333,0.680,0.016,0.011
0.330,0.680,0.015,0.010
0.327,0.680,0.015,0.011
0.324,0.680,0.015,0.010
0.321,0.680,0.015,0.010
0.318,0.680,0.015,0.010
0.315,0.680,0.016,0.011
0.312,0.680,0.015,0.010
0.309,0.680,0.017,0.012
0.306,0.680,0.015,0.010
0.303,0.680,0.016,0.011
0.300,0.680,0.015,0.010
TERMINATE SCAN MODE
