SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.707,0.016,0.011
0.303,0.706,0.015,0.010
0.306,0.706,0.015,0.011
0.309,0.706,0.015,0.011
0.312,0.706,0.015,0.010
0.315,0.705,0.015,0.011
0.318,0.705,0.016,0.012
0.321,0.704,0.019,0.013
0.324,0.704,0.021,0.015
0.327,0.704,0.027,0.019
0.330,0.703,0.032,0.023
0.333,0.703,0.041,0.029
0.336,0.702,0.052,0.036
0.339,0.702,0.067,0.047
0.342,0.701,0.088,0.062
0.345,0.700,0.112,0.078
0.348,0.698,0.152,0.106
0.351,0.697,0.194,0.135
0.354,0.695,0.252,0.175
0.357,0.692,0.326,0.225
0.360,0.689,0.421,0.290
0.363,0.685,0.536,0.367
0.366,0.680,0.684,0.465
0.369,0.672,0.876,0.589
0.372,0.663,1.089,0.723
0.375,0.652,1.340,0.873
0.378,0.634,1.645,1.044
0.381,0.605,2.022,1.223
0.384,0.544,2.383,1.297
0.387,0.350,2.568,0.899
0.390,0.208,2.604,0.541
0.393,0.157,2.614,0.409
0.396,0.131,2.617,0.344
0.399,0.117,2.618,0.306
0.402,0.107,2.620,0.280
0.405,0.101,2.621,0.264
0.408,0.096,2.622,0.251
0.411,0.092,2.621,0.240
0.414,0.089,2.623,0.234
0.417,0.087,2.623,0.228
0.420,0.085,2.622,0.222
0.423,0.083,2.620,0.218
0.426,0.082,2.623,0.215
0.429,0.081,2.624,0.212
0.432,0.080,2.622,0.209
0.435,0.079,2.624,0.207
0.438,0.078,2.620,0.205
0.441,0.078,2.623,0.204
0.444,0.077,2.619,0.202
0.447,0.077,2.620,0.201
0.450,0.076,2.621,0.200
0.450,0.076,2.623,0.200
0.447,0.077,2.620,0.201
0.444,0.077,2.617,0.201
0.441,0.078,2.621,0.203
0.438,0.078,2.620,0.205
0.435,0.079,2.618,0.206
0.432,0.080,2.621,0.210
0.429,0.081,2.619,0.212
0.426,0.082,2.619,0.214
0.423,0.083,2.619,0.218
0.420,0.085,2.616,0.222
0.417,0.087,2.618,0.227
0.414,0.089,2.621,0.234
0.411,0.092,2.619,0.241
0.408,0.096,2.616,0.251
0.405,0.101,2.619,0.264
0.402,0.108,2.615,0.281
0.399,0.118,2.618,0.308
0.396,0.133,2.616,0.349
0.393,0.160,2.610,0.418
0.390,0.219,2.598,0.569
0.387,0.377,2.556,0.964
0.384,0.545,2.358,1.284
0.381,0.599,1.991,1.192
0.378,0.626,1.632,1.022
0.375,0.643,1.327,0.853
0.372,0.654,1.089,0.712
0.369,0.663,0.875,0.580
0.366,0.670,0.680,0.455
0.363,0.674,0.539,0.363
0.360,0.678,0.425,0.288
0.357,0.681,0.326,0.222
0.354,0.683,0.251,0.172
0.351,0.685,0.193,0.132
0.348,0.686,0.151,0.104
0.345,0.687,0.115,0.079
0.342,0.688,0.087,0.060
0.339,0.688,0.065,0.045
0.336,0.689,0.051,0.035
0.333,0.689,0.040,0.028
0.330,0.689,0.032,0.022
0.327,0.689,0.026,0.018
0.324,0.689,0.022,0.015
0.321,0.689,0.019,0.013
0.318,0.689,0.016,0.011
0.315,0.689,0.016,0.011
0.312,0.689,0.015,0.011
0.309,0.689,0.015,0.011
0.306,0.688,0.016,0.011
0.303,0.689,0.015,0.011
0.300,0.688,0.015,0.010
TERMINATE SCAN MODE
