SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.699,0.016,0.011
0.303,0.699,0.016,0.011
0.306,0.699,0.015,0.010
0.309,0.699,0.017,0.012
0.312,0.698,0.015,0.010
0.315,0.698,0.015,0.011
0.318,0.698,0.015,0.010
0.321,0.698,0.015,0.010
0.324,0.698,0.015,0.010
0.327,0.698,0.015,0.011
0.330,0.697,0.015,0.011
0.333,0.697,0.016,0.011
0.336,0.697,0.017,0.012
0.339,0.697,0.021,0.015
0.342,0.696,0.032,0.022
0.345,0.696,0.043,0.030
0.348,0.695,0.061,0.042
0.351,0.694,0.081,0.056
0.354,0.693,0.111,0.077
0.357,0.692,0.122,0.085
0.360,0.691,0.167,0.116
0.363,0.689,0.229,0.158
0.366,0.685,0.329,0.225
0.369,0.682,0.438,0.299
0.372,0.672,0.708,0.476
0.375,0.665,0.887,0.589
0.378,0.654,1.143,0.747
0.381,0.638,1.462,0.932
0.384,0.621,1.706,1.060
0.387,0.617,1.775,1.095
0.390,0.569,2.212,1.260
0.393,0.483,2.416,1.167
0.396,0.344,2.507,0.862
0.399,0.212,2.510,0.533
0.402,0.163,2.516,0.411
0.405,0.150,2.512,0.378
0.408,0.142,2.517,0.358
0.411,0.136,2.518,0.343
0.414,0.134,2.515,0.337
0.417,0.132,2.519,0.331
0.420,0.128,2.515,0.323
0.423,0.126,2.516,0.316
0.426,0.124,2.513,0.311
0.429,0.121,2.512,0.305
0.432,0.121,2.517,0.303
0.435,0.119,2.515,0.301
0.438,0.119,2.517,0.299
0.441,0.118,2.516,0.297
0.444,0.117,2.512,0.294
0.447,0.117,2.515,0.293
0.450,0.116,2.512,0.291
0.450,0.116,2.513,0.292
0.447,0.119,2.510,0.298
0.444,0.123,2.510,0.308
0.441,0.135,2.512,0.340
0.438,0.188,2.511,0.473
0.435,0.583,2.135,1.245
0.432,0.660,0.949,0.626
0.429,0.684,0.301,0.206
0.426,0.689,0.113,0.078
0.423,0.692,0.047,0.033
0.420,0.693,0.022,0.015
0.417,0.693,0.016,0.011
0.414,0.693,0.015,0.011
0.411,0.693,0.017,0.012
0.408,0.693,0.016,0.011
0.405,0.692,0.015,0.010
0.402,0.692,0.016,0.011
0.399,0.693,0.015,0.011
0.396,0.692,0.016,0.011
0.393,0.692,0.015,0.010
0.390,0.692,0.015,0.011
0.387,0.692,0.015,0.010
0.384,0.692,0.015,0.011
0.381,0.692,0.017,0.012
0.378,0.692,0.016,0.011
0.375,0.692,0.015,0.011
0.372,0.692,0.016,0.011
0.369,0.692,0.015,0.011
0.366,0.691,0.015,0.011
0.363,0.692,0.015,0.010
0.360,0.692,0.015,0.010
0.357,0.692,0.015,0.010
0.354,0.692,0.015,0.011
0.351,0.692,0.016,0.011
0.348,0.691,0.015,0.011
0.345,0.691,0.016,0.011
0.342,0.691,0.015,0.010
0.339,0.691,0.018,0.013
0.336,0.691,0.016,0.011
0.333,0.691,0.015,0.011
0.330,0.691,0.015,0.010
0.327,0.691,0.016,0.011
0.324,0.691,0.015,0.011
0.321,0.691,0.017,0.012
0.318,0.691,0.016,0.011
0.315,0.691,0.016,0.011
0.312,0.691,0.015,0.010
0.309,0.691,0.016,0.011
0.306,0.691,0.016,0.011
0.303,0.691,0.015,0.011
0.300,0.691,0.015,0.010
TERMINATE SCAN MODE
