SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.691,0.015,0.010
0.303,0.691,0.016,0.011
0.306,0.691,0.015,0.010
0.309,0.691,0.015,0.010
0.312,0.691,0.015,0.010
0.315,0.690,0.015,0.010
0.318,0.690,0.015,0.011
0.321,0.690,0.018,0.013
0.324,0.690,0.023,0.016
0.327,0.690,0.025,0.018
0.330,0.690,0.030,0.021
0.333,0.689,0.039,0.027
0.336,0.689,0.050,0.035
0.339,0.689,0.065,0.045
0.342,0.688,0.083,0.057
0.345,0.687,0.111,0.076
0.348,0.686,0.145,0.099
0.351,0.685,0.188,0.129
0.354,0.683,0.245,0.168
0.357,0.681,0.315,0.214
0.360,0.678,0.411,0.279
0.363,0.674,0.524,0.354
0.366,0.670,0.665,0.445
0.369,0.663,0.851,0.564
0.372,0.655,1.059,0.694
0.375,0.644,1.307,0.842
0.378,0.628,1.614,1.014
0.381,0.602,1.981,1.192
0.384,0.550,2.350,1.291
0.387,0.373,2.575,0.961
0.390,0.214,2.598,0.556
0.393,0.157,2.601,0.409
0.396,0.131,2.598,0.340
0.399,0.117,2.601,0.303
0.402,0.107,2.602,0.277
0.405,0.100,2.602,0.260
0.408,0.095,2.605,0.248
0.411,0.091,2.603,0.238
0.414,0.088,2.607,0.230
0.417,0.086,2.606,0.224
0.420,0.084,2.607,0.219
0.423,0.083,2.605,0.215
0.426,0.081,2.606,0.211
0.429,0.080,2.602,0.209
0.432,0.079,2.605,0.205
0.435,0.078,2.603,0.203
0.438,0.077,2.603,0.202
0.441,0.077,2.600,0.200
0.444,0.076,2.602,0.198
0.447,0.076,2.600,0.197
0.450,0.075,2.605,0.196
0.450,0.075,2.601,0.196
0.447,0.076,2.604,0.197
0.444,0.076,2.608,0.199
0.441,0.077,2.609,0.200
0.438,0.078,2.605,0.203
0.435,0.078,2.606,0.204
0.432,0.079,2.604,0.206
0.429,0.080,2.607,0.208
0.426,0.081,2.603,0.211
0.423,0.083,2.602,0.215
0.420,0.084,2.601,0.219
0.417,0.086,2.603,0.224
0.414,0.088,2.603,0.230
0.411,0.091,2.604,0.238
0.408,0.096,2.604,0.249
0.405,0.101,2.603,0.262
0.402,0.108,2.602,0.280
0.399,0.118,2.603,0.307
0.396,0.133,2.605,0.347
0.393,0.161,2.600,0.419
0.390,0.224,2.599,0.582
0.387,0.400,2.561,1.024
0.384,0.555,2.317,1.287
0.381,0.603,1.961,1.182
0.378,0.628,1.601,1.006
0.375,0.643,1.309,0.842
0.372,0.654,1.065,0.697
0.369,0.662,0.855,0.566
0.366,0.669,0.670,0.448
0.363,0.674,0.528,0.356
0.360,0.677,0.410,0.278
0.357,0.680,0.317,0.216
0.354,0.682,0.246,0.168
0.351,0.684,0.192,0.131
0.348,0.685,0.147,0.101
0.345,0.686,0.110,0.076
0.342,0.687,0.084,0.058
0.339,0.687,0.065,0.045
0.336,0.688,0.051,0.035
0.333,0.688,0.041,0.028
0.330,0.689,0.030,0.021
0.327,0.689,0.027,0.018
0.324,0.689,0.023,0.016
0.321,0.689,0.019,0.013
0.318,0.689,0.015,0.011
0.315,0.689,0.017,0.012
0.312,0.689,0.017,0.012
0.309,0.689,0.015,0.010
0.306,0.689,0.015,0.010
0.303,0.689,0.015,0.011
0.300,0.689,0.016,0.011
TERMINATE SCAN MODE
