SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.669,0.017,0.011
0.303,0.669,0.015,0.010
0.306,0.669,0.015,0.010
0.309,0.669,0.016,0.011
0.312,0.669,0.015,0.010
0.315,0.668,0.019,0.013
0.318,0.668,0.030,0.020
0.321,0.667,0.036,0.024
0.324,0.667,0.044,0.029
0.327,0.666,0.056,0.037
0.330,0.666,0.060,0.040
0.333,0.665,0.081,0.054
0.336,0.664,0.113,0.075
0.339,0.661,0.173,0.115
0.342,0.658,0.277,0.182
0.345,0.653,0.420,0.274
0.348,0.646,0.581,0.376
0.351,0.639,0.751,0.480
0.354,0.629,0.969,0.609
0.357,0.626,1.012,0.633
0.360,0.612,1.278,0.781
0.363,0.590,1.598,0.943
0.366,0.553,1.988,1.099
0.369,0.473,2.352,1.112
0.372,0.231,2.543,0.589
0.375,0.168,2.542,0.428
0.378,0.138,2.543,0.351
0.381,0.122,2.547,0.311
0.384,0.116,2.544,0.295
0.387,0.114,2.547,0.291
0.390,0.107,2.547,0.272
0.393,0.103,2.548,0.264
0.396,0.101,2.547,0.256
0.399,0.097,2.545,0.248
0.402,0.094,2.548,0.240
0.405,0.093,2.549,0.238
0.408,0.092,2.542,0.234
0.411,0.091,2.544,0.232
0.414,0.091,2.542,0.232
0.417,0.091,2.541,0.231
0.420,0.090,2.545,0.230
0.423,0.089,2.542,0.227
0.426,0.089,2.546,0.227
0.429,0.089,2.548,0.226
0.432,0.088,2.543,0.224
0.435,0.088,2.549,0.224
0.438,0.087,2.543,0.222
0.441,0.088,2.547,0.223
0.444,0.087,2.547,0.222
0.447,0.087,2.542,0.221
0.450,0.087,2.547,0.221
0.450,0.087,2.544,0.222
0.447,0.088,2.544,0.225
0.444,0.090,2.546,0.230
0.441,0.094,2.541,0.238
0.438,0.102,2.544,0.259
0.435,0.126,2.546,0.322
0.432,0.352,2.493,0.878
0.429,0.610,1.305,0.796
0.426,0.644,0.581,0.374
0.423,0.656,0.256,0.168
0.420,0.660,0.140,0.092
0.417,0.661,0.105,0.070
0.414,0.663,0.068,0.045
0.411,0.663,0.042,0.028
0.408,0.664,0.024,0.016
0.405,0.664,0.018,0.012
0.402,0.664,0.017,0.012
0.399,0.664,0.016,0.011
0.396,0.664,0.018,0.012
0.393,0.664,0.017,0.011
0.390,0.663,0.016,0.011
0.387,0.663,0.015,0.010
0.384,0.664,0.015,0.010
0.381,0.663,0.016,0.010
0.378,0.663,0.017,0.011
0.375,0.663,0.016,0.010
0.372,0.663,0.015,0.010
0.369,0.663,0.015,0.010
0.366,0.663,0.016,0.010
0.363,0.663,0.015,0.010
0.360,0.663,0.017,0.012
0.357,0.663,0.015,0.010
0.354,0.663,0.015,0.010
0.351,0.663,0.016,0.011
0.348,0.663,0.015,0.010
0.345,0.663,0.015,0.010
0.342,0.663,0.017,0.011
0.339,0.663,0.015,0.010
0.336,0.663,0.016,0.011
0.333,0.662,0.015,0.010
0.330,0.662,0.015,0.010
0.327,0.662,0.015,0.010
0.324,0.662,0.016,0.011
0.321,0.662,0.015,0.010
0.318,0.662,0.015,0.010
0.315,0.662,0.016,0.010
0.312,0.662,0.015,0.010
0.309,0.662,0.016,0.011
0.306,0.662,0.015,0.010
0.303,0.662,0.016,0.011
0.300,0.662,0.015,0.010
TERMINATE SCAN MODE
