SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.677,0.015,0.010
0.303,0.676,0.016,0.011
0.306,0.676,0.015,0.010
0.309,0.676,0.015,0.010
0.312,0.676,0.015,0.010
0.315,0.676,0.015,0.010
0.318,0.676,0.015,0.010
0.321,0.676,0.015,0.010
0.324,0.676,0.015,0.010
0.327,0.675,0.014,0.010
0.330,0.675,0.015,0.010
0.333,0.675,0.015,0.010
0.336,0.675,0.015,0.010
0.339,0.675,0.016,0.011
0.342,0.675,0.015,0.010
0.345,0.675,0.016,0.010
0.348,0.674,0.015,0.010
0.351,0.674,0.015,0.010
0.354,0.674,0.017,0.012
0.357,0.674,0.016,0.011
0.360,0.674,0.016,0.011
0.363,0.674,0.018,0.012
0.366,0.674,0.016,0.011
0.369,0.673,0.018,0.012
0.372,0.673,0.018,0.012
0.375,0.673,0.024,0.016
0.378,0.673,0.027,0.018
0.381,0.672,0.039,0.026
0.384,0.672,0.052,0.035
0.387,0.671,0.068,0.046
0.390,0.670,0.091,0.061
0.393,0.669,0.125,0.083
0.396,0.668,0.174,0.116
0.399,0.665,0.262,0.174
0.402,0.659,0.433,0.286
0.405,0.655,0.535,0.350
0.408,0.649,0.706,0.458
0.411,0.636,0.986,0.627
0.414,0.627,1.158,0.726
0.417,0.613,1.388,0.850
0.420,0.580,1.767,1.025
0.423,0.488,2.133,1.042
0.426,0.392,2.378,0.932
0.429,0.246,2.506,0.615
0.432,0.147,2.518,0.371
0.435,0.120,2.522,0.302
0.438,0.105,2.520,0.263
0.441,0.098,2.519,0.248
0.444,0.094,2.519,0.236
0.447,0.089,2.516,0.224
0.450,0.086,2.521,0.216
0.450,0.092,2.518,0.231
0.447,0.144,2.521,0.363
0.444,0.481,2.178,1.047
0.441,0.641,0.876,0.562
0.438,0.664,0.286,0.190
0.435,0.670,0.079,0.053
0.432,0.672,0.026,0.018
0.429,0.672,0.016,0.011
0.426,0.672,0.015,0.010
0.423,0.672,0.015,0.010
0.420,0.672,0.015,0.010
0.417,0.672,0.015,0.010
0.414,0.672,0.015,0.010
0.411,0.672,0.017,0.011
0.408,0.672,0.017,0.011
0.405,0.672,0.015,0.010
0.402,0.672,0.015,0.010
0.399,0.671,0.015,0.010
0.396,0.672,0.015,0.010
0.393,0.671,0.015,0.010
0.390,0.672,0.015,0.010
0.387,0.671,0.015,0.010
0.384,0.671,0.015,0.010
0.381,0.672,0.015,0.010
0.378,0.671,0.017,0.011
0.375,0.671,0.015,0.010
0.372,0.671,0.016,0.011
0.369,0.671,0.017,0.011
0.366,0.671,0.015,0.010
0.363,0.671,0.016,0.010
0.360,0.671,0.016,0.011
0.357,0.671,0.015,0.010
0.354,0.671,0.016,0.010
0.351,0.671,0.016,0.011
0.348,0.671,0.015,0.010
0.345,0.671,0.017,0.011
0.342,0.671,0.016,0.011
0.339,0.671,0.015,0.010
0.336,0.671,0.017,0.011
0.333,0.671,0.015,0.010
0.330,0.671,0.015,0.010
0.327,0.671,0.015,0.010
0.324,0.671,0.015,0.010
0.321,0.670,0.016,0.010
0.318,0.671,0.015,0.010
0.315,0.671,0.016,0.011
0.312,0.671,0.017,0.011
0.309,0.671,0.015,0.010
0.306,0.670,0.016,0.010
0.303,0.671,0.015,0.010
0.300,0.670,0.015,0.010
TERMINATE SCAN MODE
