SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.650,0.034,0.022
0.303,0.664,0.015,0.010
0.306,0.664,0.015,0.010
0.309,0.664,0.015,0.010
0.312,0.664,0.015,0.010
0.315,0.664,0.016,0.011
0.318,0.663,0.017,0.011
0.321,0.663,0.021,0.014
0.324,0.663,0.023,0.015
0.327,0.663,0.025,0.017
0.330,0.662,0.031,0.020
0.333,0.661,0.042,0.028
0.336,0.660,0.051,0.034
0.339,0.659,0.068,0.045
0.342,0.657,0.090,0.059
0.345,0.655,0.116,0.076
0.348,0.652,0.155,0.101
0.351,0.649,0.194,0.126
0.354,0.643,0.256,0.165
0.357,0.637,0.305,0.194
0.360,0.619,0.430,0.266
0.363,0.598,0.519,0.311
0.366,0.525,0.634,0.333
0.369,0.337,0.703,0.237
0.372,0.166,0.720,0.119
0.375,0.101,0.715,0.072
0.378,0.069,0.720,0.049
0.381,0.054,0.721,0.039
0.384,0.047,0.720,0.034
0.387,0.041,0.720,0.030
0.390,0.037,0.721,0.027
0.393,0.034,0.720,0.025
0.396,0.032,0.721,0.023
0.399,0.030,0.720,0.022
0.402,0.029,0.724,0.021
0.405,0.028,0.719,0.020
0.408,0.027,0.720,0.020
0.411,0.026,0.718,0.019
0.414,0.026,0.720,0.019
0.417,0.025,0.723,0.018
0.420,0.025,0.722,0.018
0.423,0.024,0.720,0.017
0.426,0.024,0.720,0.017
0.429,0.024,0.720,0.017
0.432,0.024,0.719,0.017
0.435,0.024,0.721,0.017
0.438,0.023,0.720,0.017
0.441,0.023,0.719,0.017
0.444,0.023,0.721,0.017
0.447,0.023,0.721,0.017
0.450,0.023,0.722,0.017
0.450,0.023,0.721,0.016
0.447,0.023,0.723,0.017
0.444,0.023,0.719,0.017
0.441,0.023,0.721,0.017
0.438,0.024,0.723,0.017
0.435,0.024,0.721,0.017
0.432,0.024,0.719,0.018
0.429,0.025,0.720,0.018
0.426,0.025,0.721,0.018
0.423,0.025,0.721,0.018
0.420,0.026,0.722,0.019
0.417,0.026,0.720,0.019
0.414,0.027,0.722,0.020
0.411,0.028,0.722,0.020
0.408,0.029,0.720,0.021
0.405,0.030,0.721,0.022
0.402,0.032,0.719,0.023
0.399,0.034,0.722,0.025
0.396,0.036,0.722,0.026
0.393,0.040,0.725,0.029
0.390,0.045,0.723,0.032
0.387,0.050,0.724,0.036
0.384,0.063,0.725,0.046
0.381,0.088,0.723,0.063
0.378,0.163,0.723,0.118
0.375,0.281,0.719,0.202
0.372,0.455,0.672,0.306
0.369,0.567,0.592,0.336
0.366,0.616,0.448,0.276
0.363,0.628,0.368,0.231
0.360,0.636,0.302,0.192
0.357,0.645,0.217,0.140
0.354,0.650,0.155,0.101
0.351,0.653,0.119,0.078
0.348,0.655,0.093,0.061
0.345,0.657,0.062,0.041
0.342,0.657,0.053,0.035
0.339,0.658,0.041,0.027
0.336,0.659,0.036,0.024
0.333,0.659,0.029,0.019
0.330,0.659,0.027,0.018
0.327,0.660,0.019,0.012
0.324,0.660,0.016,0.011
0.321,0.660,0.017,0.011
0.318,0.660,0.015,0.010
0.315,0.660,0.015,0.010
0.312,0.660,0.015,0.010
0.309,0.660,0.015,0.010
0.306,0.660,0.016,0.011
0.303,0.660,0.015,0.010
0.300,0.660,0.015,0.010
TERMINATE SCAN MODE
