SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.667,0.016,0.011
0.303,0.668,0.016,0.011
0.306,0.668,0.015,0.010
0.309,0.668,0.015,0.010
0.312,0.668,0.015,0.010
0.315,0.668,0.016,0.011
0.318,0.667,0.016,0.011
0.321,0.667,0.018,0.012
0.324,0.667,0.021,0.014
0.327,0.667,0.028,0.019
0.330,0.666,0.034,0.023
0.333,0.666,0.041,0.027
0.336,0.665,0.050,0.033
0.339,0.664,0.066,0.044
0.342,0.662,0.083,0.055
0.345,0.661,0.107,0.071
0.348,0.658,0.145,0.096
0.351,0.654,0.188,0.123
0.354,0.650,0.240,0.156
0.357,0.644,0.308,0.198
0.360,0.633,0.405,0.256
0.363,0.614,0.512,0.315
0.366,0.576,0.632,0.364
0.369,0.397,0.728,0.289
0.372,0.186,0.744,0.139
0.375,0.102,0.743,0.076
0.378,0.072,0.744,0.054
0.381,0.057,0.747,0.043
0.384,0.049,0.746,0.037
0.387,0.043,0.748,0.032
0.390,0.039,0.747,0.029
0.393,0.037,0.746,0.027
0.396,0.034,0.747,0.026
0.399,0.033,0.747,0.024
0.402,0.031,0.747,0.023
0.405,0.030,0.746,0.022
0.408,0.029,0.747,0.022
0.411,0.028,0.747,0.021
0.414,0.028,0.748,0.021
0.417,0.027,0.748,0.020
0.420,0.027,0.747,0.020
0.423,0.026,0.747,0.020
0.426,0.026,0.748,0.019
0.429,0.026,0.746,0.019
0.432,0.026,0.748,0.019
0.435,0.025,0.747,0.019
0.438,0.025,0.746,0.019
0.441,0.025,0.749,0.019
0.444,0.025,0.749,0.018
0.447,0.025,0.747,0.018
0.450,0.024,0.750,0.018
0.450,0.024,0.748,0.018
0.447,0.024,0.746,0.018
0.444,0.025,0.746,0.018
0.441,0.025,0.748,0.019
0.438,0.025,0.747,0.019
0.435,0.025,0.745,0.019
0.432,0.026,0.748,0.019
0.429,0.026,0.747,0.019
0.426,0.026,0.746,0.019
0.423,0.026,0.747,0.020
0.420,0.027,0.747,0.020
0.417,0.027,0.747,0.020
0.414,0.028,0.745,0.021
0.411,0.028,0.748,0.021
0.408,0.029,0.748,0.022
0.405,0.030,0.747,0.022
0.402,0.031,0.746,0.023
0.399,0.033,0.743,0.024
0.396,0.034,0.745,0.026
0.393,0.037,0.743,0.027
0.390,0.040,0.743,0.029
0.387,0.044,0.746,0.033
0.384,0.050,0.745,0.037
0.381,0.058,0.746,0.043
0.378,0.075,0.745,0.056
0.375,0.111,0.743,0.082
0.372,0.207,0.744,0.154
0.369,0.411,0.729,0.299
0.366,0.581,0.620,0.360
0.363,0.617,0.497,0.306
0.360,0.633,0.396,0.250
0.357,0.644,0.304,0.196
0.354,0.650,0.235,0.153
0.351,0.655,0.183,0.120
0.348,0.658,0.139,0.092
0.345,0.661,0.105,0.069
0.342,0.662,0.083,0.055
0.339,0.664,0.064,0.042
0.336,0.665,0.050,0.033
0.333,0.665,0.039,0.026
0.330,0.666,0.031,0.020
0.327,0.667,0.025,0.017
0.324,0.667,0.021,0.014
0.321,0.667,0.020,0.013
0.318,0.667,0.015,0.010
0.315,0.667,0.015,0.010
0.312,0.667,0.014,0.010
0.309,0.668,0.016,0.010
0.306,0.668,0.015,0.010
0.303,0.667,0.017,0.011
0.300,0.668,0.017,0.012
TERMINATE SCAN MODE
