SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.669,0.015,0.010
0.303,0.669,0.015,0.010
0.306,0.669,0.018,0.012
0.309,0.669,0.017,0.011
0.312,0.669,0.016,0.010
0.315,0.669,0.016,0.011
0.318,0.669,0.016,0.010
0.321,0.669,0.015,0.010
0.324,0.669,0.015,0.010
0.327,0.669,0.015,0.010
0.330,0.669,0.016,0.011
0.333,0.669,0.016,0.011
0.336,0.669,0.015,0.010
0.339,0.669,0.017,0.012
0.342,0.669,0.015,0.010
0.345,0.669,0.016,0.011
0.348,0.669,0.015,0.010
0.351,0.669,0.015,0.010
0.354,0.669,0.020,0.013
0.357,0.669,0.018,0.012
0.360,0.669,0.017,0.011
0.363,0.668,0.020,0.013
0.366,0.669,0.024,0.016
0.369,0.668,0.031,0.021
0.372,0.668,0.051,0.034
0.375,0.667,0.064,0.042
0.378,0.667,0.086,0.057
0.381,0.666,0.109,0.073
0.384,0.665,0.134,0.089
0.387,0.665,0.137,0.091
0.390,0.663,0.188,0.125
0.393,0.662,0.248,0.164
0.396,0.659,0.327,0.216
0.399,0.654,0.459,0.300
0.402,0.645,0.722,0.465
0.405,0.638,0.888,0.567
0.408,0.629,1.092,0.687
0.411,0.614,1.389,0.853
0.414,0.606,1.499,0.909
0.417,0.599,1.629,0.977
0.420,0.578,1.907,1.102
0.423,0.517,2.274,1.177
0.426,0.425,2.450,1.042
0.429,0.222,2.543,0.564
0.432,0.162,2.544,0.413
0.435,0.144,2.549,0.367
0.438,0.133,2.548,0.338
0.441,0.124,2.549,0.316
0.444,0.124,2.548,0.315
0.447,0.118,2.550,0.302
0.450,0.115,2.547,0.292
0.450,0.124,2.550,0.316
0.447,0.238,2.541,0.604
0.444,0.585,1.839,1.076
0.441,0.648,0.637,0.413
0.438,0.664,0.184,0.122
0.435,0.668,0.050,0.034
0.432,0.669,0.017,0.012
0.429,0.669,0.015,0.010
0.426,0.670,0.015,0.010
0.423,0.669,0.015,0.010
0.420,0.670,0.015,0.010
0.417,0.669,0.017,0.012
0.414,0.669,0.016,0.010
0.411,0.669,0.015,0.010
0.408,0.669,0.015,0.010
0.405,0.669,0.015,0.010
0.402,0.669,0.015,0.010
0.399,0.669,0.015,0.010
0.396,0.669,0.015,0.010
0.393,0.669,0.016,0.011
0.390,0.669,0.015,0.010
0.387,0.669,0.015,0.010
0.384,0.669,0.015,0.010
0.381,0.669,0.015,0.010
0.378,0.669,0.015,0.010
0.375,0.669,0.016,0.011
0.372,0.669,0.016,0.011
0.369,0.669,0.015,0.010
0.366,0.669,0.016,0.010
0.363,0.669,0.015,0.010
0.360,0.669,0.015,0.010
0.357,0.669,0.015,0.010
0.354,0.669,0.016,0.011
0.351,0.669,0.016,0.011
0.348,0.669,0.015,0.010
0.345,0.669,0.017,0.011
0.342,0.669,0.015,0.010
0.339,0.669,0.015,0.010
0.336,0.669,0.015,0.010
0.333,0.669,0.015,0.010
0.330,0.669,0.015,0.010
0.327,0.669,0.015,0.010
0.324,0.669,0.016,0.011
0.321,0.669,0.015,0.010
0.318,0.669,0.015,0.010
0.315,0.669,0.017,0.011
0.312,0.669,0.015,0.010
0.309,0.669,0.015,0.010
0.306,0.669,0.016,0.011
0.303,0.669,0.016,0.010
0.300,0.669,0.018,0.012
TERMINATE SCAN MODE
