SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.690,0.018,0.012
0.303,0.690,0.016,0.011
0.306,0.689,0.018,0.012
0.309,0.689,0.015,0.011
0.312,0.689,0.016,0.011
0.315,0.689,0.016,0.011
0.318,0.688,0.015,0.010
0.321,0.688,0.017,0.012
0.324,0.688,0.022,0.015
0.327,0.687,0.026,0.018
0.330,0.687,0.032,0.022
0.333,0.686,0.042,0.029
0.336,0.686,0.050,0.034
0.339,0.685,0.066,0.045
0.342,0.684,0.087,0.059
0.345,0.683,0.114,0.078
0.348,0.682,0.151,0.103
0.351,0.681,0.193,0.131
0.354,0.679,0.249,0.169
0.357,0.676,0.321,0.217
0.360,0.674,0.421,0.284
0.363,0.670,0.535,0.358
0.366,0.665,0.680,0.452
0.369,0.658,0.870,0.573
0.372,0.650,1.081,0.703
0.375,0.639,1.339,0.856
0.378,0.623,1.653,1.030
0.381,0.595,2.028,1.206
0.384,0.523,2.389,1.250
0.387,0.308,2.502,0.771
0.390,0.188,2.525,0.474
0.393,0.144,2.531,0.364
0.396,0.122,2.532,0.310
0.399,0.110,2.533,0.278
0.402,0.101,2.536,0.255
0.405,0.095,2.536,0.240
0.408,0.090,2.533,0.229
0.411,0.087,2.532,0.219
0.414,0.084,2.533,0.212
0.417,0.082,2.533,0.207
0.420,0.080,2.534,0.203
0.423,0.078,2.535,0.198
0.426,0.077,2.531,0.195
0.429,0.076,2.534,0.192
0.432,0.075,2.532,0.190
0.435,0.074,2.531,0.188
0.438,0.074,2.534,0.187
0.441,0.073,2.533,0.185
0.444,0.073,2.533,0.184
0.447,0.072,2.535,0.183
0.450,0.072,2.533,0.182
0.450,0.072,2.534,0.182
0.447,0.072,2.537,0.183
0.444,0.072,2.534,0.184
0.441,0.073,2.532,0.185
0.438,0.074,2.535,0.187
0.435,0.074,2.532,0.188
0.432,0.075,2.530,0.189
0.429,0.076,2.529,0.192
0.426,0.077,2.528,0.194
0.423,0.078,2.525,0.197
0.420,0.080,2.525,0.201
0.417,0.082,2.526,0.206
0.414,0.084,2.527,0.212
0.411,0.086,2.525,0.218
0.408,0.090,2.525,0.228
0.405,0.095,2.526,0.240
0.402,0.101,2.522,0.254
0.399,0.110,2.525,0.279
0.396,0.124,2.523,0.312
0.393,0.146,2.520,0.369
0.390,0.195,2.514,0.491
0.387,0.327,2.493,0.815
0.384,0.530,2.358,1.250
0.381,0.591,2.003,1.183
0.378,0.618,1.636,1.011
0.375,0.633,1.330,0.842
0.372,0.643,1.083,0.697
0.369,0.651,0.872,0.568
0.366,0.658,0.680,0.447
0.363,0.662,0.539,0.357
0.360,0.666,0.425,0.283
0.357,0.669,0.322,0.216
0.354,0.671,0.253,0.170
0.351,0.672,0.194,0.131
0.348,0.673,0.147,0.099
0.345,0.674,0.112,0.076
0.342,0.675,0.085,0.058
0.339,0.675,0.068,0.046
0.336,0.676,0.052,0.035
0.333,0.676,0.040,0.027
0.330,0.676,0.033,0.022
0.327,0.676,0.026,0.018
0.324,0.676,0.021,0.014
0.321,0.676,0.018,0.012
0.318,0.676,0.017,0.011
0.315,0.676,0.016,0.011
0.312,0.676,0.015,0.010
0.309,0.676,0.016,0.011
0.306,0.676,0.016,0.011
0.303,0.676,0.015,0.010
0.300,0.676,0.018,0.012
TERMINATE SCAN MODE
