SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.695,0.015,0.010
0.303,0.695,0.015,0.011
0.306,0.694,0.016,0.011
0.309,0.694,0.015,0.010
0.312,0.694,0.016,0.011
0.315,0.694,0.016,0.011
0.318,0.693,0.015,0.011
0.321,0.693,0.018,0.013
0.324,0.693,0.021,0.014
0.327,0.693,0.025,0.018
0.330,0.692,0.032,0.022
0.333,0.692,0.040,0.027
0.336,0.691,0.050,0.034
0.339,0.691,0.066,0.046
0.342,0.690,0.087,0.060
0.345,0.689,0.113,0.078
0.348,0.688,0.150,0.103
0.351,0.686,0.194,0.133
0.354,0.685,0.250,0.171
0.357,0.682,0.325,0.222
0.360,0.679,0.424,0.288
0.363,0.675,0.544,0.367
0.366,0.671,0.684,0.459
0.369,0.664,0.873,0.579
0.372,0.656,1.081,0.709
0.375,0.644,1.340,0.863
0.378,0.628,1.649,1.035
0.381,0.599,2.026,1.214
0.384,0.534,2.386,1.273
0.387,0.323,2.521,0.815
0.390,0.195,2.542,0.497
0.393,0.149,2.548,0.379
0.396,0.126,2.555,0.322
0.399,0.113,2.558,0.289
0.402,0.104,2.560,0.266
0.405,0.098,2.559,0.250
0.408,0.093,2.561,0.239
0.411,0.089,2.564,0.229
0.414,0.086,2.559,0.221
0.417,0.084,2.558,0.215
0.420,0.082,2.557,0.211
0.423,0.081,2.556,0.207
0.426,0.079,2.558,0.203
0.429,0.078,2.558,0.201
0.432,0.078,2.560,0.199
0.435,0.077,2.555,0.196
0.438,0.076,2.559,0.194
0.441,0.075,2.558,0.192
0.444,0.075,2.559,0.192
0.447,0.074,2.564,0.191
0.450,0.074,2.565,0.190
0.450,0.074,2.560,0.189
0.447,0.074,2.559,0.191
0.444,0.075,2.560,0.192
0.441,0.075,2.560,0.193
0.438,0.076,2.559,0.194
0.435,0.076,2.558,0.195
0.432,0.077,2.557,0.197
0.429,0.078,2.558,0.200
0.426,0.079,2.556,0.203
0.423,0.081,2.555,0.206
0.420,0.082,2.563,0.211
0.417,0.084,2.560,0.216
0.414,0.086,2.557,0.221
0.411,0.089,2.557,0.228
0.408,0.093,2.556,0.238
0.405,0.098,2.557,0.250
0.402,0.104,2.554,0.266
0.399,0.114,2.551,0.290
0.396,0.127,2.550,0.325
0.393,0.151,2.546,0.385
0.390,0.202,2.538,0.512
0.387,0.342,2.511,0.859
0.384,0.538,2.345,1.261
0.381,0.595,1.997,1.188
0.378,0.622,1.637,1.019
0.375,0.638,1.339,0.855
0.372,0.649,1.087,0.706
0.369,0.657,0.875,0.575
0.366,0.664,0.684,0.454
0.363,0.669,0.542,0.362
0.360,0.672,0.426,0.286
0.357,0.675,0.324,0.219
0.354,0.677,0.252,0.171
0.351,0.679,0.195,0.132
0.348,0.680,0.150,0.102
0.345,0.681,0.113,0.077
0.342,0.682,0.086,0.059
0.339,0.682,0.066,0.045
0.336,0.682,0.051,0.035
0.333,0.683,0.040,0.027
0.330,0.683,0.031,0.021
0.327,0.683,0.026,0.018
0.324,0.683,0.023,0.015
0.321,0.683,0.021,0.014
0.318,0.683,0.016,0.011
0.315,0.683,0.015,0.010
0.312,0.683,0.015,0.010
0.309,0.683,0.015,0.010
0.306,0.683,0.016,0.011
0.303,0.683,0.017,0.011
0.300,0.683,0.015,0.010
TERMINATE SCAN MODE
