SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.707,0.015,0.011
0.303,0.706,0.015,0.010
0.306,0.706,0.015,0.010
0.309,0.706,0.015,0.011
0.312,0.706,0.016,0.011
0.315,0.705,0.018,0.013
0.318,0.705,0.025,0.018
0.321,0.704,0.031,0.022
0.324,0.704,0.040,0.028
0.327,0.703,0.056,0.039
0.330,0.703,0.063,0.044
0.333,0.702,0.087,0.061
0.336,0.701,0.123,0.086
0.339,0.699,0.177,0.124
0.342,0.696,0.268,0.186
0.345,0.692,0.391,0.270
0.348,0.688,0.549,0.378
0.351,0.684,0.669,0.457
0.354,0.677,0.852,0.577
0.357,0.672,0.972,0.653
0.360,0.661,1.252,0.827
0.363,0.645,1.555,1.003
0.366,0.618,1.912,1.182
0.369,0.531,2.293,1.217
0.372,0.283,2.543,0.719
0.375,0.208,2.566,0.534
0.378,0.156,2.578,0.403
0.381,0.127,2.583,0.329
0.384,0.116,2.584,0.300
0.387,0.111,2.585,0.287
0.390,0.101,2.587,0.261
0.393,0.096,2.587,0.247
0.396,0.091,2.587,0.237
0.399,0.087,2.586,0.225
0.402,0.084,2.585,0.217
0.405,0.082,2.582,0.212
0.408,0.081,2.581,0.209
0.411,0.079,2.582,0.204
0.414,0.079,2.580,0.203
0.417,0.078,2.578,0.201
0.420,0.077,2.578,0.199
0.423,0.076,2.582,0.197
0.426,0.076,2.582,0.196
0.429,0.075,2.583,0.194
0.432,0.075,2.582,0.193
0.435,0.074,2.582,0.191
0.438,0.074,2.579,0.190
0.441,0.074,2.578,0.190
0.444,0.074,2.581,0.190
0.447,0.073,2.582,0.189
0.450,0.073,2.579,0.188
0.450,0.073,2.581,0.189
0.447,0.075,2.577,0.194
0.444,0.078,2.576,0.200
0.441,0.084,2.578,0.217
0.438,0.101,2.573,0.259
0.435,0.190,2.556,0.487
0.432,0.621,1.806,1.122
0.429,0.679,0.606,0.411
0.426,0.690,0.215,0.148
0.423,0.693,0.077,0.053
0.420,0.695,0.029,0.020
0.417,0.695,0.019,0.013
0.414,0.695,0.015,0.011
0.411,0.695,0.015,0.011
0.408,0.695,0.015,0.010
0.405,0.695,0.015,0.010
0.402,0.695,0.015,0.011
0.399,0.694,0.016,0.011
0.396,0.694,0.015,0.010
0.393,0.694,0.015,0.010
0.390,0.694,0.018,0.012
0.387,0.694,0.015,0.011
0.384,0.694,0.015,0.011
0.381,0.694,0.015,0.011
0.378,0.693,0.015,0.010
0.375,0.694,0.017,0.012
0.372,0.693,0.017,0.012
0.369,0.693,0.017,0.012
0.366,0.693,0.015,0.011
0.363,0.693,0.016,0.011
0.360,0.693,0.015,0.011
0.357,0.693,0.015,0.011
0.354,0.692,0.015,0.010
0.351,0.692,0.015,0.011
0.348,0.693,0.015,0.011
0.345,0.692,0.015,0.010
0.342,0.692,0.015,0.010
0.339,0.692,0.017,0.012
0.336,0.692,0.015,0.011
0.333,0.692,0.016,0.011
0.330,0.692,0.016,0.011
0.327,0.692,0.016,0.011
0.324,0.691,0.016,0.011
0.321,0.692,0.015,0.011
0.318,0.691,0.018,0.012
0.315,0.691,0.015,0.011
0.312,0.691,0.017,0.011
0.309,0.691,0.015,0.010
0.306,0.691,0.015,0.010
0.303,0.691,0.016,0.011
0.300,0.691,0.015,0.011
TERMINATE SCAN MODE
