SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.568,0.159,0.090
0.303,0.674,0.016,0.011
0.306,0.673,0.016,0.011
0.309,0.673,0.016,0.011
0.312,0.672,0.018,0.012
0.315,0.672,0.026,0.017
0.318,0.671,0.033,0.022
0.321,0.670,0.042,0.028
0.324,0.669,0.059,0.039
0.327,0.667,0.080,0.053
0.330,0.668,0.076,0.051
0.333,0.665,0.099,0.066
0.336,0.663,0.133,0.088
0.339,0.658,0.194,0.128
0.342,0.644,0.320,0.206
0.345,0.619,0.459,0.284
0.348,0.539,0.583,0.314
0.351,0.467,0.630,0.294
0.354,0.365,0.665,0.242
0.357,0.415,0.649,0.269
0.360,0.264,0.685,0.181
0.363,0.157,0.693,0.109
0.366,0.090,0.694,0.062
0.369,0.058,0.697,0.040
0.372,0.041,0.694,0.029
0.375,0.037,0.696,0.026
0.378,0.035,0.696,0.024
0.381,0.032,0.694,0.022
0.384,0.031,0.694,0.021
0.387,0.030,0.696,0.021
0.390,0.028,0.696,0.020
0.393,0.027,0.696,0.019
0.396,0.026,0.696,0.018
0.399,0.025,0.698,0.018
0.402,0.024,0.697,0.017
0.405,0.024,0.695,0.017
0.408,0.024,0.695,0.017
0.411,0.024,0.691,0.016
0.414,0.024,0.703,0.017
0.417,0.024,0.715,0.017
0.420,0.024,0.725,0.017
0.423,0.024,0.726,0.017
0.426,0.024,0.729,0.017
0.429,0.024,0.731,0.017
0.432,0.024,0.730,0.017
0.435,0.023,0.728,0.017
0.438,0.023,0.731,0.017
0.441,0.023,0.729,0.017
0.444,0.023,0.727,0.017
0.447,0.023,0.727,0.017
0.450,0.023,0.729,0.017
0.450,0.023,0.728,0.017
0.447,0.024,0.726,0.017
0.444,0.024,0.727,0.018
0.441,0.025,0.728,0.018
0.438,0.027,0.729,0.020
0.435,0.033,0.728,0.024
0.432,0.059,0.727,0.043
0.429,0.461,0.686,0.316
0.426,0.645,0.319,0.206
0.423,0.662,0.133,0.088
0.420,0.668,0.043,0.028
0.417,0.670,0.027,0.018
0.414,0.671,0.018,0.012
0.411,0.671,0.015,0.010
0.408,0.671,0.015,0.010
0.405,0.671,0.015,0.010
0.402,0.671,0.016,0.011
0.399,0.671,0.015,0.010
0.396,0.671,0.016,0.011
0.393,0.671,0.015,0.010
0.390,0.671,0.015,0.010
0.387,0.671,0.015,0.010
0.384,0.671,0.015,0.010
0.381,0.671,0.016,0.010
0.378,0.671,0.015,0.010
0.375,0.671,0.016,0.010
0.372,0.671,0.016,0.011
0.369,0.670,0.017,0.011
0.366,0.670,0.015,0.010
0.363,0.670,0.016,0.010
0.360,0.670,0.016,0.011
0.357,0.670,0.015,0.010
0.354,0.670,0.016,0.011
0.351,0.670,0.015,0.010
0.348,0.670,0.015,0.010
0.345,0.670,0.015,0.010
0.342,0.670,0.016,0.011
0.339,0.670,0.016,0.010
0.336,0.670,0.015,0.010
0.333,0.670,0.018,0.012
0.330,0.670,0.016,0.010
0.327,0.670,0.015,0.010
0.324,0.670,0.015,0.010
0.321,0.670,0.016,0.011
0.318,0.670,0.015,0.010
0.315,0.670,0.015,0.010
0.312,0.670,0.016,0.011
0.309,0.670,0.015,0.010
0.306,0.670,0.015,0.010
0.303,0.670,0.015,0.010
0.300,0.670,0.016,0.011
TERMINATE SCAN MODE
