SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.706,0.015,0.011
0.303,0.706,0.015,0.010
0.306,0.705,0.017,0.012
0.309,0.705,0.015,0.011
0.312,0.705,0.015,0.010
0.315,0.704,0.016,0.011
0.318,0.704,0.016,0.011
0.321,0.704,0.018,0.012
0.324,0.704,0.022,0.016
0.327,0.704,0.024,0.017
0.330,0.703,0.031,0.022
0.333,0.702,0.039,0.027
0.336,0.702,0.050,0.035
0.339,0.702,0.063,0.044
0.342,0.700,0.081,0.057
0.345,0.699,0.109,0.076
0.348,0.698,0.142,0.099
0.351,0.697,0.185,0.129
0.354,0.695,0.242,0.168
0.357,0.692,0.307,0.212
0.360,0.688,0.405,0.279
0.363,0.684,0.514,0.351
0.366,0.679,0.650,0.441
0.369,0.672,0.826,0.555
0.372,0.664,1.020,0.677
0.375,0.653,1.259,0.821
0.378,0.637,1.539,0.980
0.381,0.610,1.878,1.146
0.384,0.561,2.215,1.243
0.387,0.381,2.414,0.919
0.390,0.222,2.451,0.545
0.393,0.166,2.465,0.408
0.396,0.138,2.467,0.341
0.399,0.123,2.473,0.304
0.402,0.113,2.476,0.280
0.405,0.106,2.472,0.263
0.408,0.101,2.469,0.250
0.411,0.097,2.469,0.240
0.414,0.094,2.470,0.233
0.417,0.092,2.468,0.227
0.420,0.090,2.467,0.223
0.423,0.089,2.474,0.219
0.426,0.087,2.473,0.216
0.429,0.086,2.473,0.213
0.432,0.085,2.471,0.211
0.435,0.084,2.469,0.208
0.438,0.084,2.472,0.207
0.441,0.083,2.468,0.205
0.444,0.082,2.465,0.203
0.447,0.082,2.470,0.203
0.450,0.082,2.466,0.201
0.450,0.081,2.464,0.201
0.447,0.082,2.465,0.202
0.444,0.082,2.467,0.203
0.441,0.083,2.467,0.205
0.438,0.084,2.468,0.207
0.435,0.084,2.467,0.208
0.432,0.085,2.471,0.211
0.429,0.086,2.468,0.212
0.426,0.087,2.467,0.216
0.423,0.089,2.468,0.220
0.420,0.091,2.464,0.223
0.417,0.093,2.472,0.229
0.414,0.096,2.472,0.236
0.411,0.099,2.469,0.243
0.408,0.103,2.470,0.255
0.405,0.107,2.466,0.264
0.402,0.114,2.467,0.280
0.399,0.124,2.466,0.306
0.396,0.140,2.457,0.343
0.393,0.169,2.456,0.414
0.390,0.232,2.443,0.567
0.387,0.407,2.395,0.976
0.384,0.569,2.163,1.231
0.381,0.609,1.856,1.131
0.378,0.634,1.520,0.964
0.375,0.650,1.241,0.806
0.372,0.660,1.024,0.675
0.369,0.668,0.835,0.557
0.366,0.675,0.649,0.438
0.363,0.680,0.514,0.350
0.360,0.684,0.399,0.273
0.357,0.688,0.300,0.207
0.354,0.690,0.234,0.162
0.351,0.692,0.178,0.123
0.348,0.693,0.141,0.098
0.345,0.694,0.104,0.072
0.342,0.695,0.083,0.058
0.339,0.695,0.064,0.045
0.336,0.696,0.047,0.033
0.333,0.696,0.038,0.026
0.330,0.697,0.030,0.021
0.327,0.697,0.024,0.017
0.324,0.697,0.020,0.014
0.321,0.697,0.018,0.012
0.318,0.697,0.015,0.011
0.315,0.697,0.015,0.010
0.312,0.697,0.015,0.010
0.309,0.697,0.015,0.010
0.306,0.697,0.015,0.010
0.303,0.697,0.016,0.011
0.300,0.697,0.015,0.010
TERMINATE SCAN MODE
