SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.698,0.015,0.011
0.303,0.698,0.015,0.011
0.306,0.698,0.015,0.011
0.309,0.698,0.015,0.011
0.312,0.697,0.016,0.011
0.315,0.697,0.017,0.012
0.318,0.697,0.022,0.016
0.321,0.696,0.028,0.019
0.324,0.696,0.035,0.025
0.327,0.695,0.048,0.034
0.330,0.694,0.064,0.044
0.333,0.693,0.081,0.056
0.336,0.692,0.109,0.075
0.339,0.690,0.160,0.111
0.342,0.688,0.241,0.166
0.345,0.685,0.339,0.232
0.348,0.679,0.513,0.348
0.351,0.677,0.585,0.396
0.354,0.670,0.771,0.517
0.357,0.664,0.901,0.598
0.360,0.652,1.183,0.772
0.363,0.635,1.496,0.950
0.366,0.586,1.897,1.112
0.369,0.522,2.177,1.136
0.372,0.357,2.485,0.886
0.375,0.259,2.568,0.665
0.378,0.181,2.583,0.468
0.381,0.133,2.582,0.343
0.384,0.118,2.586,0.304
0.387,0.113,2.585,0.292
0.390,0.104,2.589,0.269
0.393,0.099,2.588,0.257
0.396,0.095,2.586,0.247
0.399,0.092,2.591,0.239
0.402,0.089,2.588,0.230
0.405,0.088,2.589,0.228
0.408,0.087,2.591,0.225
0.411,0.086,2.588,0.222
0.414,0.085,2.590,0.221
0.417,0.085,2.591,0.219
0.420,0.084,2.589,0.217
0.423,0.083,2.591,0.216
0.426,0.083,2.587,0.215
0.429,0.082,2.587,0.213
0.432,0.082,2.589,0.212
0.435,0.082,2.588,0.212
0.438,0.082,2.590,0.211
0.441,0.082,2.589,0.211
0.444,0.081,2.588,0.210
0.447,0.081,2.594,0.210
0.450,0.081,2.590,0.210
0.450,0.081,2.597,0.211
0.447,0.082,2.596,0.214
0.444,0.083,2.591,0.216
0.441,0.086,2.593,0.223
0.438,0.092,2.589,0.237
0.435,0.106,2.587,0.274
0.432,0.211,2.581,0.546
0.429,0.587,1.876,1.101
0.426,0.666,0.675,0.450
0.423,0.680,0.231,0.157
0.420,0.685,0.063,0.043
0.417,0.686,0.023,0.016
0.414,0.686,0.018,0.012
0.411,0.686,0.015,0.010
0.408,0.686,0.015,0.011
0.405,0.685,0.015,0.010
0.402,0.685,0.015,0.010
0.399,0.685,0.015,0.011
0.396,0.685,0.015,0.010
0.393,0.685,0.016,0.011
0.390,0.685,0.016,0.011
0.387,0.685,0.015,0.010
0.384,0.684,0.015,0.010
0.381,0.684,0.016,0.011
0.378,0.684,0.017,0.011
0.375,0.684,0.015,0.010
0.372,0.684,0.015,0.010
0.369,0.684,0.016,0.011
0.366,0.684,0.015,0.011
0.363,0.683,0.016,0.011
0.360,0.683,0.015,0.010
0.357,0.683,0.017,0.012
0.354,0.683,0.015,0.010
0.351,0.683,0.015,0.010
0.348,0.683,0.015,0.010
0.345,0.683,0.015,0.010
0.342,0.682,0.016,0.011
0.339,0.682,0.015,0.011
0.336,0.682,0.015,0.010
0.333,0.682,0.015,0.010
0.330,0.682,0.015,0.010
0.327,0.682,0.015,0.010
0.324,0.682,0.015,0.010
0.321,0.682,0.016,0.011
0.318,0.682,0.015,0.010
0.315,0.681,0.015,0.010
0.312,0.681,0.015,0.010
0.309,0.681,0.015,0.010
0.306,0.681,0.015,0.010
0.303,0.681,0.015,0.010
0.300,0.681,0.015,0.010
TERMINATE SCAN MODE
