SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.637,0.016,0.010
0.303,0.637,0.015,0.009
0.306,0.636,0.015,0.010
0.309,0.636,0.018,0.011
0.312,0.636,0.015,0.010
0.315,0.636,0.015,0.010
0.318,0.635,0.017,0.011
0.321,0.635,0.018,0.011
0.324,0.635,0.021,0.013
0.327,0.634,0.027,0.017
0.330,0.634,0.032,0.020
0.333,0.633,0.039,0.025
0.336,0.633,0.050,0.031
0.339,0.633,0.062,0.039
0.342,0.632,0.083,0.052
0.345,0.631,0.110,0.069
0.348,0.629,0.145,0.091
0.351,0.628,0.188,0.118
0.354,0.626,0.243,0.152
0.357,0.623,0.311,0.194
0.360,0.619,0.417,0.258
0.363,0.615,0.527,0.324
0.366,0.610,0.663,0.405
0.369,0.603,0.848,0.511
0.372,0.593,1.060,0.629
0.375,0.582,1.292,0.753
0.378,0.566,1.589,0.899
0.381,0.536,1.965,1.054
0.384,0.493,2.282,1.126
0.387,0.330,2.478,0.817
0.390,0.197,2.484,0.490
0.393,0.147,2.488,0.366
0.396,0.124,2.484,0.308
0.399,0.111,2.484,0.275
0.402,0.102,2.487,0.254
0.405,0.096,2.482,0.238
0.408,0.092,2.488,0.228
0.411,0.088,2.485,0.219
0.414,0.085,2.484,0.212
0.417,0.083,2.489,0.207
0.420,0.081,2.485,0.202
0.423,0.080,2.489,0.198
0.426,0.078,2.487,0.195
0.429,0.077,2.486,0.192
0.432,0.077,2.488,0.191
0.435,0.076,2.490,0.189
0.438,0.075,2.486,0.186
0.441,0.075,2.486,0.185
0.444,0.074,2.482,0.183
0.447,0.074,2.488,0.183
0.450,0.073,2.485,0.182
0.450,0.073,2.484,0.181
0.447,0.073,2.488,0.183
0.444,0.074,2.485,0.184
0.441,0.075,2.484,0.185
0.438,0.075,2.491,0.188
0.435,0.076,2.485,0.188
0.432,0.077,2.488,0.191
0.429,0.078,2.486,0.194
0.426,0.079,2.485,0.196
0.423,0.081,2.488,0.200
0.420,0.082,2.485,0.204
0.417,0.084,2.488,0.209
0.414,0.086,2.489,0.215
0.411,0.089,2.485,0.222
0.408,0.095,2.487,0.236
0.405,0.100,2.484,0.248
0.402,0.109,2.486,0.270
0.399,0.121,2.486,0.300
0.396,0.140,2.480,0.346
0.393,0.178,2.482,0.442
0.390,0.258,2.471,0.637
0.387,0.421,2.428,1.022
0.384,0.521,2.110,1.099
0.381,0.552,1.764,0.973
0.378,0.572,1.438,0.823
0.375,0.586,1.155,0.677
0.372,0.596,0.945,0.563
0.369,0.603,0.758,0.458
0.366,0.610,0.588,0.358
0.363,0.614,0.463,0.285
0.360,0.618,0.374,0.231
0.357,0.621,0.283,0.176
0.354,0.623,0.222,0.138
0.351,0.625,0.167,0.105
0.348,0.626,0.131,0.082
0.345,0.627,0.094,0.059
0.342,0.628,0.076,0.048
0.339,0.628,0.060,0.037
0.336,0.629,0.044,0.027
0.333,0.629,0.037,0.023
0.330,0.629,0.029,0.018
0.327,0.629,0.025,0.016
0.324,0.629,0.019,0.012
0.321,0.629,0.017,0.011
0.318,0.629,0.015,0.010
0.315,0.629,0.016,0.010
0.312,0.629,0.017,0.011
0.309,0.629,0.016,0.010
0.306,0.630,0.016,0.010
0.303,0.630,0.017,0.011
0.300,0.629,0.016,0.010
TERMINATE SCAN MODE
