SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.629,0.015,0.009
0.303,0.629,0.016,0.010
0.306,0.628,0.016,0.010
0.309,0.628,0.015,0.010
0.312,0.628,0.016,0.010
0.315,0.628,0.017,0.011
0.318,0.628,0.018,0.012
0.321,0.628,0.018,0.012
0.324,0.627,0.024,0.015
0.327,0.627,0.025,0.016
0.330,0.627,0.032,0.020
0.333,0.626,0.037,0.023
0.336,0.626,0.050,0.031
0.339,0.626,0.064,0.040
0.342,0.625,0.083,0.052
0.345,0.624,0.109,0.068
0.348,0.623,0.144,0.090
0.351,0.621,0.183,0.114
0.354,0.619,0.240,0.149
0.357,0.617,0.314,0.194
0.360,0.613,0.408,0.250
0.363,0.609,0.523,0.319
0.366,0.604,0.657,0.397
0.369,0.597,0.847,0.506
0.372,0.588,1.049,0.617
0.375,0.577,1.300,0.750
0.378,0.561,1.602,0.898
0.381,0.534,1.980,1.058
0.384,0.487,2.338,1.138
0.387,0.303,2.485,0.754
0.390,0.181,2.488,0.450
0.393,0.139,2.489,0.345
0.396,0.119,2.491,0.295
0.399,0.106,2.490,0.264
0.402,0.098,2.490,0.243
0.405,0.092,2.496,0.229
0.408,0.087,2.493,0.218
0.411,0.084,2.493,0.209
0.414,0.081,2.492,0.202
0.417,0.079,2.492,0.197
0.420,0.077,2.494,0.193
0.423,0.076,2.491,0.188
0.426,0.074,2.489,0.185
0.429,0.073,2.490,0.183
0.432,0.072,2.489,0.180
0.435,0.072,2.490,0.179
0.438,0.071,2.491,0.177
0.441,0.070,2.488,0.175
0.444,0.070,2.490,0.174
0.447,0.069,2.490,0.173
0.450,0.069,2.490,0.172
0.450,0.069,2.488,0.172
0.447,0.070,2.488,0.173
0.444,0.070,2.489,0.174
0.441,0.070,2.491,0.175
0.438,0.071,2.488,0.177
0.435,0.072,2.489,0.178
0.432,0.072,2.488,0.180
0.429,0.073,2.489,0.182
0.426,0.075,2.490,0.186
0.423,0.076,2.485,0.188
0.420,0.077,2.486,0.192
0.417,0.079,2.486,0.197
0.414,0.081,2.486,0.202
0.411,0.084,2.486,0.209
0.408,0.087,2.485,0.217
0.405,0.092,2.486,0.228
0.402,0.098,2.485,0.243
0.399,0.106,2.478,0.264
0.396,0.120,2.486,0.297
0.393,0.141,2.482,0.351
0.390,0.187,2.485,0.465
0.387,0.326,2.486,0.810
0.384,0.491,2.308,1.134
0.381,0.535,1.952,1.045
0.378,0.560,1.592,0.892
0.375,0.576,1.293,0.745
0.372,0.587,1.054,0.619
0.369,0.596,0.848,0.505
0.366,0.603,0.660,0.398
0.363,0.608,0.525,0.319
0.360,0.612,0.412,0.252
0.357,0.615,0.309,0.190
0.354,0.618,0.243,0.150
0.351,0.619,0.191,0.118
0.348,0.621,0.142,0.088
0.345,0.622,0.110,0.068
0.342,0.623,0.083,0.052
0.339,0.623,0.065,0.041
0.336,0.624,0.049,0.031
0.333,0.624,0.037,0.023
0.330,0.625,0.031,0.020
0.327,0.625,0.026,0.016
0.324,0.625,0.020,0.013
0.321,0.625,0.019,0.012
0.318,0.625,0.015,0.009
0.315,0.625,0.017,0.011
0.312,0.625,0.014,0.009
0.309,0.625,0.015,0.009
0.306,0.625,0.016,0.010
0.303,0.625,0.016,0.010
0.300,0.625,0.016,0.010
TERMINATE SCAN MODE
