SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.645,0.018,0.011
0.303,0.645,0.015,0.010
0.306,0.645,0.015,0.010
0.309,0.644,0.015,0.010
0.312,0.644,0.018,0.011
0.315,0.644,0.015,0.010
0.318,0.643,0.015,0.010
0.321,0.643,0.017,0.011
0.324,0.643,0.021,0.013
0.327,0.642,0.024,0.016
0.330,0.642,0.030,0.020
0.333,0.641,0.036,0.023
0.336,0.641,0.047,0.030
0.339,0.640,0.063,0.040
0.342,0.639,0.077,0.049
0.345,0.638,0.101,0.064
0.348,0.636,0.137,0.087
0.351,0.635,0.176,0.111
0.354,0.633,0.230,0.146
0.357,0.630,0.299,0.188
0.360,0.626,0.388,0.243
0.363,0.622,0.497,0.309
0.366,0.616,0.630,0.388
0.369,0.609,0.807,0.491
0.372,0.600,1.001,0.600
0.375,0.588,1.242,0.730
0.378,0.571,1.533,0.875
0.381,0.545,1.885,1.028
0.384,0.504,2.241,1.128
0.387,0.361,2.481,0.896
0.390,0.202,2.486,0.503
0.393,0.150,2.487,0.374
0.396,0.126,2.490,0.314
0.399,0.112,2.490,0.279
0.402,0.103,2.490,0.256
0.405,0.096,2.489,0.240
0.408,0.092,2.489,0.228
0.411,0.088,2.490,0.219
0.414,0.085,2.486,0.211
0.417,0.083,2.492,0.207
0.420,0.081,2.493,0.202
0.423,0.079,2.492,0.197
0.426,0.078,2.494,0.195
0.429,0.077,2.487,0.191
0.432,0.076,2.491,0.189
0.435,0.075,2.492,0.187
0.438,0.075,2.488,0.186
0.441,0.074,2.491,0.184
0.444,0.073,2.488,0.183
0.447,0.073,2.491,0.182
0.450,0.073,2.491,0.181
0.450,0.072,2.486,0.180
0.447,0.073,2.492,0.182
0.444,0.073,2.490,0.183
0.441,0.074,2.493,0.184
0.438,0.075,2.493,0.186
0.435,0.075,2.490,0.187
0.432,0.076,2.492,0.190
0.429,0.077,2.495,0.193
0.426,0.078,2.490,0.194
0.423,0.079,2.493,0.198
0.420,0.081,2.494,0.202
0.417,0.083,2.492,0.207
0.414,0.085,2.496,0.213
0.411,0.088,2.490,0.219
0.408,0.092,2.494,0.230
0.405,0.097,2.495,0.242
0.402,0.103,2.492,0.257
0.399,0.113,2.493,0.283
0.396,0.128,2.490,0.319
0.393,0.154,2.490,0.384
0.390,0.212,2.490,0.528
0.387,0.383,2.475,0.949
0.384,0.500,2.208,1.104
0.381,0.538,1.862,1.002
0.378,0.563,1.515,0.853
0.375,0.579,1.236,0.715
0.372,0.590,1.003,0.592
0.369,0.599,0.806,0.483
0.366,0.607,0.629,0.382
0.363,0.612,0.494,0.302
0.360,0.616,0.389,0.239
0.357,0.619,0.295,0.183
0.354,0.622,0.228,0.142
0.351,0.623,0.175,0.109
0.348,0.624,0.136,0.085
0.345,0.625,0.102,0.064
0.342,0.626,0.078,0.049
0.339,0.627,0.060,0.038
0.336,0.627,0.047,0.030
0.333,0.628,0.038,0.024
0.330,0.628,0.031,0.020
0.327,0.628,0.023,0.015
0.324,0.628,0.022,0.014
0.321,0.627,0.018,0.011
0.318,0.628,0.016,0.010
0.315,0.627,0.016,0.010
0.312,0.627,0.016,0.010
0.309,0.627,0.016,0.010
0.306,0.627,0.015,0.009
0.303,0.627,0.016,0.010
0.300,0.627,0.015,0.010
TERMINATE SCAN MODE
