SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.632,0.015,0.009
0.303,0.632,0.015,0.010
0.306,0.631,0.015,0.010
0.309,0.631,0.015,0.010
0.312,0.630,0.015,0.009
0.315,0.631,0.016,0.010
0.318,0.630,0.016,0.010
0.321,0.630,0.018,0.012
0.324,0.630,0.020,0.013
0.327,0.629,0.024,0.015
0.330,0.629,0.030,0.019
0.333,0.628,0.038,0.024
0.336,0.628,0.047,0.030
0.339,0.627,0.066,0.041
0.342,0.626,0.085,0.053
0.345,0.625,0.108,0.068
0.348,0.624,0.146,0.091
0.351,0.623,0.182,0.114
0.354,0.620,0.240,0.149
0.357,0.618,0.298,0.184
0.360,0.614,0.417,0.256
0.363,0.610,0.521,0.318
0.366,0.605,0.657,0.397
0.369,0.597,0.851,0.509
0.372,0.587,1.086,0.638
0.375,0.578,1.290,0.745
0.378,0.560,1.604,0.898
0.381,0.529,1.979,1.046
0.384,0.481,2.271,1.092
0.387,0.356,2.517,0.895
0.390,0.201,2.529,0.507
0.393,0.148,2.528,0.373
0.396,0.123,2.530,0.312
0.399,0.108,2.527,0.272
0.402,0.100,2.529,0.252
0.405,0.094,2.533,0.238
0.408,0.089,2.527,0.225
0.411,0.085,2.533,0.216
0.414,0.083,2.528,0.209
0.417,0.080,2.529,0.203
0.420,0.079,2.530,0.199
0.423,0.077,2.528,0.195
0.426,0.076,2.527,0.191
0.429,0.075,2.529,0.189
0.432,0.074,2.527,0.186
0.435,0.073,2.526,0.184
0.438,0.072,2.526,0.183
0.441,0.072,2.530,0.181
0.444,0.071,2.528,0.180
0.447,0.071,2.526,0.178
0.450,0.070,2.530,0.178
0.450,0.070,2.532,0.178
0.447,0.071,2.527,0.179
0.444,0.071,2.529,0.181
0.441,0.072,2.529,0.183
0.438,0.073,2.532,0.184
0.435,0.074,2.528,0.186
0.432,0.075,2.528,0.188
0.429,0.076,2.531,0.191
0.426,0.077,2.531,0.194
0.423,0.078,2.528,0.198
0.420,0.080,2.531,0.203
0.417,0.082,2.527,0.207
0.414,0.085,2.530,0.214
0.411,0.088,2.528,0.223
0.408,0.092,2.525,0.233
0.405,0.098,2.529,0.249
0.402,0.107,2.527,0.271
0.399,0.122,2.527,0.308
0.396,0.146,2.528,0.368
0.393,0.183,2.524,0.462
0.390,0.288,2.511,0.724
0.387,0.459,2.403,1.102
0.384,0.527,1.970,1.039
0.381,0.552,1.654,0.912
0.378,0.570,1.326,0.755
0.375,0.581,1.079,0.627
0.372,0.590,0.877,0.517
0.369,0.597,0.700,0.418
0.366,0.603,0.540,0.326
0.363,0.607,0.424,0.257
0.360,0.610,0.340,0.207
0.357,0.613,0.249,0.152
0.354,0.615,0.191,0.118
0.351,0.616,0.151,0.093
0.348,0.617,0.117,0.072
0.345,0.618,0.084,0.052
0.342,0.618,0.068,0.042
0.339,0.619,0.053,0.033
0.336,0.619,0.040,0.025
0.333,0.619,0.032,0.020
0.330,0.619,0.026,0.016
0.327,0.619,0.021,0.013
0.324,0.620,0.018,0.011
0.321,0.620,0.016,0.010
0.318,0.619,0.016,0.010
0.315,0.619,0.015,0.009
0.312,0.619,0.015,0.009
0.309,0.619,0.017,0.011
0.306,0.619,0.015,0.010
0.303,0.619,0.015,0.009
0.300,0.619,0.016,0.010
TERMINATE SCAN MODE
