SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.637,0.016,0.010
0.303,0.637,0.015,0.010
0.306,0.636,0.016,0.010
0.309,0.636,0.015,0.009
0.312,0.636,0.015,0.010
0.315,0.636,0.015,0.010
0.318,0.636,0.015,0.009
0.321,0.635,0.021,0.013
0.324,0.635,0.021,0.013
0.327,0.635,0.025,0.016
0.330,0.635,0.032,0.020
0.333,0.634,0.041,0.026
0.336,0.634,0.048,0.030
0.339,0.633,0.064,0.041
0.342,0.633,0.086,0.055
0.345,0.632,0.108,0.068
0.348,0.631,0.144,0.091
0.351,0.629,0.181,0.114
0.354,0.628,0.242,0.152
0.357,0.625,0.311,0.195
0.360,0.622,0.408,0.254
0.363,0.619,0.518,0.321
0.366,0.614,0.662,0.406
0.369,0.608,0.846,0.515
0.372,0.600,1.058,0.635
0.375,0.590,1.302,0.769
0.378,0.575,1.611,0.927
0.381,0.551,1.985,1.093
0.384,0.507,2.349,1.190
0.387,0.340,2.552,0.867
0.390,0.194,2.555,0.495
0.393,0.147,2.561,0.376
0.396,0.123,2.558,0.316
0.399,0.110,2.555,0.281
0.402,0.101,2.557,0.258
0.405,0.095,2.558,0.242
0.408,0.090,2.556,0.230
0.411,0.086,2.555,0.220
0.414,0.083,2.549,0.212
0.417,0.081,2.553,0.207
0.420,0.079,2.552,0.202
0.423,0.078,2.553,0.198
0.426,0.076,2.551,0.195
0.429,0.075,2.552,0.192
0.432,0.074,2.555,0.190
0.435,0.074,2.556,0.188
0.438,0.073,2.553,0.186
0.441,0.072,2.557,0.185
0.444,0.072,2.554,0.183
0.447,0.071,2.555,0.183
0.450,0.071,2.555,0.181
0.450,0.071,2.555,0.181
0.447,0.071,2.553,0.182
0.444,0.072,2.550,0.183
0.441,0.072,2.550,0.184
0.438,0.073,2.552,0.186
0.435,0.074,2.548,0.187
0.432,0.074,2.550,0.190
0.429,0.076,2.554,0.193
0.426,0.076,2.551,0.195
0.423,0.078,2.553,0.199
0.420,0.079,2.551,0.203
0.417,0.081,2.553,0.207
0.414,0.084,2.553,0.214
0.411,0.086,2.548,0.220
0.408,0.090,2.549,0.230
0.405,0.095,2.551,0.243
0.402,0.102,2.549,0.260
0.399,0.112,2.552,0.286
0.396,0.127,2.552,0.325
0.393,0.154,2.552,0.394
0.390,0.215,2.552,0.549
0.387,0.373,2.532,0.945
0.384,0.514,2.286,1.176
0.381,0.552,1.931,1.065
0.378,0.573,1.582,0.907
0.375,0.588,1.272,0.747
0.372,0.597,1.038,0.620
0.369,0.605,0.830,0.502
0.366,0.611,0.646,0.394
0.363,0.615,0.508,0.312
0.360,0.618,0.400,0.247
0.357,0.621,0.304,0.189
0.354,0.623,0.235,0.147
0.351,0.625,0.181,0.113
0.348,0.626,0.141,0.088
0.345,0.627,0.105,0.066
0.342,0.627,0.083,0.052
0.339,0.628,0.063,0.039
0.336,0.628,0.048,0.030
0.333,0.628,0.036,0.023
0.330,0.628,0.031,0.019
0.327,0.629,0.025,0.016
0.324,0.629,0.020,0.013
0.321,0.629,0.018,0.011
0.318,0.629,0.018,0.011
0.315,0.629,0.016,0.010
0.312,0.629,0.016,0.010
0.309,0.629,0.015,0.009
0.306,0.629,0.015,0.009
0.303,0.629,0.015,0.010
0.300,0.629,0.016,0.010
TERMINATE SCAN MODE
