SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.715,0.015,0.011
0.303,0.715,0.016,0.011
0.306,0.715,0.015,0.011
0.309,0.715,0.015,0.011
0.312,0.714,0.015,0.011
0.315,0.714,0.015,0.011
0.318,0.714,0.016,0.011
0.321,0.713,0.016,0.012
0.324,0.713,0.018,0.013
0.327,0.713,0.022,0.016
0.330,0.713,0.026,0.019
0.333,0.713,0.032,0.023
0.336,0.712,0.038,0.027
0.339,0.712,0.050,0.036
0.342,0.711,0.064,0.046
0.345,0.710,0.085,0.060
0.348,0.709,0.112,0.079
0.351,0.708,0.147,0.104
0.354,0.706,0.189,0.133
0.357,0.704,0.246,0.174
0.360,0.702,0.324,0.227
0.363,0.698,0.416,0.291
0.366,0.694,0.532,0.369
0.369,0.689,0.688,0.474
0.372,0.682,0.859,0.586
0.375,0.673,1.069,0.720
0.378,0.661,1.327,0.877
0.381,0.643,1.645,1.058
0.384,0.615,1.979,1.217
0.387,0.550,2.330,1.282
0.390,0.325,2.475,0.805
0.393,0.203,2.481,0.503
0.396,0.154,2.489,0.383
0.399,0.130,2.483,0.323
0.402,0.116,2.485,0.289
0.405,0.107,2.485,0.267
0.408,0.101,2.482,0.251
0.411,0.096,2.485,0.239
0.414,0.093,2.484,0.231
0.417,0.090,2.483,0.223
0.420,0.088,2.486,0.219
0.423,0.086,2.478,0.212
0.426,0.084,2.486,0.210
0.429,0.083,2.487,0.207
0.432,0.082,2.485,0.204
0.435,0.081,2.486,0.202
0.438,0.080,2.481,0.200
0.441,0.080,2.484,0.198
0.444,0.079,2.487,0.197
0.447,0.079,2.484,0.196
0.450,0.079,2.484,0.195
0.450,0.078,2.487,0.195
0.447,0.079,2.485,0.196
0.444,0.079,2.488,0.198
0.441,0.080,2.484,0.198
0.438,0.081,2.486,0.201
0.435,0.081,2.488,0.203
0.432,0.082,2.484,0.205
0.429,0.083,2.485,0.207
0.426,0.084,2.485,0.210
0.423,0.086,2.480,0.213
0.420,0.088,2.486,0.219
0.417,0.090,2.476,0.223
0.414,0.093,2.481,0.230
0.411,0.096,2.481,0.239
0.408,0.101,2.481,0.252
0.405,0.108,2.482,0.267
0.402,0.117,2.481,0.290
0.399,0.131,2.479,0.326
0.396,0.156,2.480,0.388
0.393,0.210,2.475,0.519
0.390,0.343,2.464,0.845
0.387,0.556,2.292,1.275
0.384,0.612,1.953,1.196
0.381,0.639,1.629,1.041
0.378,0.657,1.319,0.866
0.375,0.668,1.068,0.714
0.372,0.677,0.860,0.582
0.369,0.683,0.688,0.470
0.366,0.689,0.532,0.366
0.363,0.693,0.417,0.289
0.360,0.695,0.326,0.227
0.357,0.698,0.246,0.172
0.354,0.700,0.190,0.133
0.351,0.701,0.143,0.100
0.348,0.702,0.112,0.079
0.345,0.702,0.083,0.058
0.342,0.703,0.063,0.044
0.339,0.704,0.049,0.035
0.336,0.704,0.039,0.027
0.333,0.704,0.031,0.022
0.330,0.704,0.026,0.018
0.327,0.704,0.020,0.014
0.324,0.704,0.020,0.014
0.321,0.704,0.016,0.011
0.318,0.704,0.015,0.011
0.315,0.704,0.016,0.011
0.312,0.704,0.015,0.010
0.309,0.704,0.016,0.011
0.306,0.704,0.015,0.011
0.303,0.704,0.015,0.010
0.300,0.704,0.015,0.011
TERMINATE SCAN MODE
