SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.703,0.015,0.010
0.303,0.702,0.016,0.012
0.306,0.702,0.014,0.010
0.309,0.702,0.015,0.011
0.312,0.702,0.016,0.011
0.315,0.702,0.015,0.011
0.318,0.701,0.015,0.011
0.321,0.701,0.017,0.012
0.324,0.701,0.021,0.015
0.327,0.700,0.025,0.017
0.330,0.700,0.031,0.021
0.333,0.700,0.037,0.026
0.336,0.699,0.046,0.032
0.339,0.698,0.062,0.043
0.342,0.698,0.082,0.057
0.345,0.697,0.105,0.073
0.348,0.696,0.139,0.097
0.351,0.695,0.182,0.127
0.354,0.693,0.235,0.163
0.357,0.691,0.304,0.210
0.360,0.688,0.399,0.275
0.363,0.685,0.510,0.349
0.366,0.681,0.642,0.437
0.369,0.674,0.823,0.555
0.372,0.667,1.019,0.680
0.375,0.658,1.261,0.829
0.378,0.644,1.549,0.997
0.381,0.619,1.895,1.173
0.384,0.564,2.241,1.265
0.387,0.349,2.388,0.833
0.390,0.208,2.416,0.503
0.393,0.155,2.429,0.377
0.396,0.130,2.428,0.317
0.399,0.117,2.429,0.284
0.402,0.107,2.436,0.261
0.405,0.101,2.436,0.247
0.408,0.096,2.438,0.235
0.411,0.092,2.436,0.225
0.414,0.090,2.436,0.218
0.417,0.087,2.439,0.213
0.420,0.085,2.434,0.208
0.423,0.084,2.439,0.205
0.426,0.083,2.434,0.201
0.429,0.081,2.435,0.198
0.432,0.081,2.435,0.196
0.435,0.080,2.431,0.194
0.438,0.079,2.433,0.193
0.441,0.079,2.437,0.192
0.444,0.078,2.433,0.190
0.447,0.078,2.433,0.189
0.450,0.077,2.430,0.187
0.450,0.077,2.433,0.188
0.447,0.078,2.436,0.190
0.444,0.078,2.434,0.190
0.441,0.079,2.436,0.192
0.438,0.079,2.435,0.193
0.435,0.080,2.435,0.195
0.432,0.081,2.438,0.198
0.429,0.082,2.437,0.200
0.426,0.083,2.440,0.203
0.423,0.085,2.439,0.206
0.420,0.086,2.436,0.210
0.417,0.088,2.436,0.214
0.414,0.091,2.437,0.221
0.411,0.094,2.434,0.229
0.408,0.099,2.435,0.240
0.405,0.103,2.433,0.250
0.402,0.109,2.435,0.267
0.399,0.122,2.430,0.297
0.396,0.142,2.427,0.345
0.393,0.177,2.423,0.428
0.390,0.253,2.406,0.609
0.387,0.403,2.338,0.943
0.384,0.541,2.130,1.153
0.381,0.612,1.843,1.128
0.378,0.638,1.518,0.969
0.375,0.652,1.238,0.808
0.372,0.662,1.010,0.669
0.369,0.668,0.821,0.549
0.366,0.674,0.648,0.437
0.363,0.678,0.514,0.349
0.360,0.682,0.407,0.278
0.357,0.684,0.306,0.210
0.354,0.686,0.240,0.164
0.351,0.687,0.186,0.128
0.348,0.689,0.141,0.097
0.345,0.690,0.102,0.071
0.342,0.690,0.080,0.056
0.339,0.691,0.062,0.043
0.336,0.691,0.048,0.033
0.333,0.691,0.038,0.026
0.330,0.691,0.029,0.020
0.327,0.691,0.025,0.017
0.324,0.691,0.020,0.014
0.321,0.691,0.018,0.012
0.318,0.691,0.017,0.012
0.315,0.691,0.017,0.012
0.312,0.691,0.017,0.011
0.309,0.691,0.015,0.010
0.306,0.691,0.017,0.012
0.303,0.691,0.015,0.010
0.300,0.691,0.015,0.010
TERMINATE SCAN MODE
