SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.702,0.015,0.010
0.303,0.701,0.016,0.011
0.306,0.701,0.017,0.012
0.309,0.701,0.016,0.011
0.312,0.701,0.016,0.011
0.315,0.700,0.016,0.012
0.318,0.700,0.016,0.012
0.321,0.700,0.018,0.013
0.324,0.699,0.022,0.016
0.327,0.699,0.027,0.019
0.330,0.699,0.031,0.022
0.333,0.698,0.040,0.028
0.336,0.697,0.054,0.037
0.339,0.697,0.069,0.048
0.342,0.696,0.088,0.061
0.345,0.695,0.117,0.081
0.348,0.693,0.159,0.110
0.351,0.692,0.196,0.136
0.354,0.690,0.252,0.174
0.357,0.688,0.332,0.228
0.360,0.684,0.434,0.297
0.363,0.680,0.555,0.377
0.366,0.675,0.698,0.471
0.369,0.668,0.880,0.588
0.372,0.659,1.106,0.729
0.375,0.647,1.359,0.880
0.378,0.632,1.649,1.042
0.381,0.603,2.014,1.215
0.384,0.532,2.337,1.243
0.387,0.388,2.545,0.987
0.390,0.233,2.592,0.605
0.393,0.168,2.591,0.435
0.396,0.135,2.588,0.348
0.399,0.118,2.586,0.304
0.402,0.107,2.586,0.276
0.405,0.100,2.586,0.260
0.408,0.095,2.583,0.247
0.411,0.091,2.587,0.235
0.414,0.088,2.587,0.227
0.417,0.086,2.586,0.223
0.420,0.084,2.587,0.218
0.423,0.082,2.588,0.213
0.426,0.081,2.589,0.210
0.429,0.080,2.591,0.207
0.432,0.079,2.588,0.204
0.435,0.078,2.585,0.202
0.438,0.077,2.586,0.200
0.441,0.077,2.582,0.198
0.444,0.076,2.582,0.196
0.447,0.076,2.582,0.195
0.450,0.075,2.582,0.194
0.450,0.075,2.579,0.194
0.447,0.076,2.585,0.195
0.444,0.076,2.583,0.197
0.441,0.077,2.585,0.198
0.438,0.078,2.584,0.200
0.435,0.078,2.583,0.202
0.432,0.079,2.581,0.204
0.429,0.080,2.578,0.206
0.426,0.081,2.580,0.209
0.423,0.082,2.577,0.212
0.420,0.084,2.577,0.217
0.417,0.086,2.579,0.221
0.414,0.088,2.579,0.227
0.411,0.091,2.578,0.236
0.408,0.095,2.578,0.246
0.405,0.100,2.578,0.259
0.402,0.108,2.579,0.278
0.399,0.119,2.581,0.308
0.396,0.137,2.580,0.355
0.393,0.168,2.576,0.433
0.390,0.246,2.575,0.634
0.387,0.409,2.517,1.030
0.384,0.551,2.293,1.263
0.381,0.602,1.972,1.188
0.378,0.628,1.611,1.012
0.375,0.644,1.298,0.835
0.372,0.654,1.072,0.701
0.369,0.662,0.869,0.575
0.366,0.668,0.683,0.456
0.363,0.673,0.537,0.361
0.360,0.677,0.419,0.284
0.357,0.680,0.326,0.221
0.354,0.682,0.250,0.171
0.351,0.684,0.194,0.133
0.348,0.685,0.147,0.101
0.345,0.686,0.112,0.077
0.342,0.687,0.086,0.059
0.339,0.687,0.066,0.045
0.336,0.687,0.051,0.035
0.333,0.688,0.039,0.027
0.330,0.688,0.033,0.023
0.327,0.688,0.025,0.017
0.324,0.688,0.021,0.015
0.321,0.688,0.018,0.013
0.318,0.688,0.016,0.011
0.315,0.688,0.016,0.011
0.312,0.688,0.015,0.011
0.309,0.688,0.016,0.011
0.306,0.688,0.016,0.011
0.303,0.688,0.015,0.010
0.300,0.688,0.016,0.011
TERMINATE SCAN MODE
