SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.707,0.075,0.053
0.303,0.708,0.067,0.047
0.306,0.707,0.087,0.062
0.309,0.706,0.103,0.073
0.312,0.704,0.126,0.088
0.315,0.701,0.207,0.145
0.318,0.699,0.251,0.175
0.321,0.696,0.304,0.212
0.324,0.693,0.376,0.261
0.327,0.688,0.469,0.322
0.330,0.686,0.513,0.352
0.333,0.677,0.698,0.472
0.336,0.672,0.779,0.524
0.339,0.660,0.991,0.655
0.342,0.644,1.275,0.821
0.345,0.614,1.619,0.994
0.348,0.580,1.894,1.099
0.351,0.509,2.168,1.103
0.354,0.467,2.288,1.068
0.357,0.443,2.352,1.043
0.360,0.357,2.525,0.902
0.363,0.296,2.584,0.765
0.366,0.226,2.633,0.596
0.369,0.152,2.645,0.403
0.372,0.123,2.651,0.325
0.375,0.115,2.645,0.303
0.378,0.107,2.648,0.284
0.381,0.101,2.649,0.267
0.384,0.098,2.646,0.259
0.387,0.095,2.650,0.253
0.390,0.093,2.649,0.247
0.393,0.091,2.648,0.241
0.396,0.089,2.653,0.237
0.399,0.087,2.645,0.231
0.402,0.086,2.646,0.226
0.405,0.084,2.644,0.223
0.408,0.084,2.646,0.221
0.411,0.083,2.649,0.220
0.414,0.082,2.649,0.218
0.417,0.082,2.648,0.218
0.420,0.082,2.647,0.216
0.423,0.081,2.644,0.214
0.426,0.081,2.650,0.214
0.429,0.080,2.647,0.213
0.432,0.080,2.646,0.211
0.435,0.080,2.648,0.211
0.438,0.079,2.644,0.209
0.441,0.079,2.646,0.210
0.444,0.079,2.647,0.209
0.447,0.079,2.644,0.209
0.450,0.079,2.645,0.208
0.450,0.079,2.650,0.210
0.447,0.080,2.649,0.213
0.444,0.082,2.652,0.218
0.441,0.087,2.648,0.230
0.438,0.097,2.651,0.258
0.435,0.139,2.649,0.368
0.432,0.459,2.324,1.066
0.429,0.652,0.973,0.634
0.426,0.682,0.377,0.257
0.423,0.693,0.110,0.076
0.420,0.696,0.041,0.028
0.417,0.697,0.019,0.013
0.414,0.697,0.016,0.011
0.411,0.697,0.015,0.010
0.408,0.697,0.015,0.010
0.405,0.696,0.015,0.010
0.402,0.696,0.015,0.010
0.399,0.696,0.015,0.010
0.396,0.696,0.016,0.011
0.393,0.696,0.016,0.011
0.390,0.696,0.015,0.011
0.387,0.695,0.015,0.010
0.384,0.695,0.015,0.010
0.381,0.695,0.015,0.010
0.378,0.695,0.015,0.010
0.375,0.695,0.015,0.011
0.372,0.695,0.015,0.010
0.369,0.695,0.015,0.011
0.366,0.694,0.016,0.011
0.363,0.694,0.015,0.011
0.360,0.694,0.017,0.012
0.357,0.694,0.016,0.011
0.354,0.693,0.016,0.011
0.351,0.693,0.015,0.011
0.348,0.693,0.020,0.014
0.345,0.693,0.016,0.011
0.342,0.693,0.015,0.011
0.339,0.693,0.015,0.010
0.336,0.693,0.016,0.011
0.333,0.692,0.017,0.012
0.330,0.692,0.015,0.010
0.327,0.692,0.015,0.010
0.324,0.692,0.017,0.012
0.321,0.692,0.016,0.011
0.318,0.692,0.015,0.010
0.315,0.692,0.017,0.012
0.312,0.691,0.015,0.011
0.309,0.691,0.015,0.010
0.306,0.691,0.015,0.011
0.303,0.691,0.015,0.011
0.300,0.691,0.017,0.012
TERMINATE SCAN MODE
