SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.711,0.015,0.011
0.303,0.711,0.015,0.011
0.306,0.711,0.015,0.011
0.309,0.710,0.015,0.011
0.312,0.710,0.015,0.011
0.315,0.710,0.015,0.011
0.318,0.709,0.015,0.011
0.321,0.709,0.018,0.013
0.324,0.708,0.021,0.015
0.327,0.708,0.026,0.018
0.330,0.708,0.032,0.022
0.333,0.707,0.040,0.028
0.336,0.706,0.051,0.036
0.339,0.706,0.065,0.046
0.342,0.705,0.087,0.061
0.345,0.704,0.111,0.078
0.348,0.702,0.146,0.103
0.351,0.701,0.194,0.136
0.354,0.699,0.247,0.172
0.357,0.696,0.319,0.222
0.360,0.692,0.418,0.290
0.363,0.689,0.535,0.368
0.366,0.683,0.675,0.462
0.369,0.676,0.866,0.586
0.372,0.667,1.078,0.719
0.375,0.656,1.327,0.871
0.378,0.640,1.642,1.050
0.381,0.613,2.011,1.232
0.384,0.567,2.384,1.352
0.387,0.412,2.653,1.092
0.390,0.233,2.695,0.629
0.393,0.169,2.705,0.458
0.396,0.139,2.710,0.377
0.399,0.123,2.716,0.334
0.402,0.112,2.718,0.305
0.405,0.105,2.719,0.286
0.408,0.100,2.722,0.272
0.411,0.096,2.723,0.261
0.414,0.093,2.724,0.253
0.417,0.090,2.722,0.246
0.420,0.088,2.720,0.240
0.423,0.087,2.723,0.236
0.426,0.085,2.722,0.232
0.429,0.084,2.719,0.228
0.432,0.083,2.722,0.226
0.435,0.082,2.720,0.223
0.438,0.081,2.722,0.221
0.441,0.081,2.717,0.219
0.444,0.080,2.717,0.217
0.447,0.080,2.715,0.216
0.450,0.079,2.717,0.215
0.450,0.079,2.716,0.215
0.447,0.079,2.721,0.216
0.444,0.080,2.717,0.217
0.441,0.081,2.720,0.220
0.438,0.081,2.720,0.221
0.435,0.082,2.721,0.223
0.432,0.083,2.722,0.226
0.429,0.084,2.722,0.228
0.426,0.085,2.721,0.232
0.423,0.087,2.721,0.236
0.420,0.088,2.718,0.240
0.417,0.090,2.720,0.246
0.414,0.093,2.719,0.252
0.411,0.096,2.716,0.260
0.408,0.100,2.718,0.273
0.405,0.106,2.713,0.287
0.402,0.113,2.712,0.306
0.399,0.125,2.711,0.338
0.396,0.142,2.704,0.384
0.393,0.176,2.703,0.475
0.390,0.252,2.688,0.678
0.387,0.439,2.637,1.159
0.384,0.566,2.341,1.325
0.381,0.606,1.974,1.197
0.378,0.631,1.603,1.012
0.375,0.646,1.305,0.844
0.372,0.657,1.062,0.698
0.369,0.665,0.852,0.566
0.366,0.672,0.665,0.447
0.363,0.676,0.528,0.357
0.360,0.680,0.417,0.284
0.357,0.683,0.313,0.214
0.354,0.685,0.245,0.168
0.351,0.687,0.189,0.129
0.348,0.688,0.145,0.100
0.345,0.689,0.111,0.077
0.342,0.689,0.085,0.058
0.339,0.690,0.068,0.047
0.336,0.690,0.048,0.033
0.333,0.690,0.037,0.025
0.330,0.690,0.032,0.022
0.327,0.690,0.027,0.019
0.324,0.690,0.023,0.016
0.321,0.690,0.018,0.012
0.318,0.690,0.015,0.011
0.315,0.690,0.015,0.011
0.312,0.690,0.015,0.010
0.309,0.689,0.018,0.012
0.306,0.689,0.015,0.010
0.303,0.689,0.015,0.010
0.300,0.689,0.015,0.010
TERMINATE SCAN MODE
