SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.704,0.017,0.012
0.303,0.704,0.015,0.010
0.306,0.704,0.015,0.011
0.309,0.703,0.015,0.011
0.312,0.703,0.016,0.011
0.315,0.703,0.015,0.011
0.318,0.703,0.017,0.012
0.321,0.702,0.018,0.012
0.324,0.702,0.018,0.012
0.327,0.702,0.021,0.015
0.330,0.701,0.025,0.017
0.333,0.701,0.030,0.021
0.336,0.700,0.038,0.027
0.339,0.700,0.050,0.035
0.342,0.699,0.063,0.044
0.345,0.698,0.084,0.058
0.348,0.697,0.109,0.076
0.351,0.695,0.143,0.100
0.354,0.693,0.188,0.130
0.357,0.691,0.242,0.167
0.360,0.687,0.321,0.221
0.363,0.683,0.414,0.283
0.366,0.678,0.529,0.359
0.369,0.671,0.684,0.459
0.372,0.663,0.853,0.566
0.375,0.652,1.063,0.694
0.378,0.637,1.321,0.842
0.381,0.615,1.633,1.004
0.384,0.582,1.962,1.141
0.387,0.496,2.290,1.137
0.390,0.285,2.394,0.683
0.393,0.185,2.404,0.445
0.396,0.143,2.412,0.345
0.399,0.123,2.408,0.295
0.402,0.110,2.411,0.265
0.405,0.102,2.405,0.245
0.408,0.096,2.405,0.231
0.411,0.092,2.411,0.221
0.414,0.088,2.406,0.212
0.417,0.085,2.405,0.206
0.420,0.083,2.404,0.201
0.423,0.082,2.401,0.196
0.426,0.080,2.407,0.193
0.429,0.079,2.408,0.190
0.432,0.078,2.408,0.188
0.435,0.077,2.412,0.186
0.438,0.076,2.410,0.184
0.441,0.076,2.408,0.183
0.444,0.076,2.412,0.182
0.447,0.075,2.408,0.180
0.450,0.074,2.409,0.179
0.450,0.074,2.406,0.179
0.447,0.075,2.408,0.180
0.444,0.075,2.414,0.182
0.441,0.076,2.407,0.183
0.438,0.076,2.410,0.184
0.435,0.077,2.409,0.186
0.432,0.078,2.408,0.188
0.429,0.079,2.409,0.191
0.426,0.080,2.409,0.194
0.423,0.082,2.405,0.196
0.420,0.084,2.407,0.201
0.417,0.086,2.406,0.206
0.414,0.088,2.408,0.213
0.411,0.092,2.408,0.221
0.408,0.096,2.405,0.232
0.405,0.102,2.410,0.247
0.402,0.110,2.407,0.266
0.399,0.124,2.407,0.298
0.396,0.146,2.403,0.350
0.393,0.190,2.400,0.457
0.390,0.297,2.383,0.709
0.387,0.504,2.253,1.136
0.384,0.578,1.932,1.116
0.381,0.609,1.617,0.985
0.378,0.631,1.309,0.826
0.375,0.646,1.058,0.683
0.372,0.656,0.855,0.561
0.369,0.664,0.682,0.453
0.366,0.671,0.530,0.355
0.363,0.676,0.412,0.279
0.360,0.680,0.325,0.221
0.357,0.683,0.246,0.168
0.354,0.685,0.189,0.130
0.351,0.686,0.145,0.099
0.348,0.688,0.111,0.076
0.345,0.689,0.083,0.057
0.342,0.689,0.063,0.043
0.339,0.690,0.050,0.034
0.336,0.690,0.037,0.026
0.333,0.690,0.031,0.021
0.330,0.691,0.025,0.017
0.327,0.691,0.020,0.014
0.324,0.691,0.019,0.013
0.321,0.691,0.016,0.011
0.318,0.691,0.015,0.011
0.315,0.691,0.016,0.011
0.312,0.691,0.017,0.012
0.309,0.691,0.016,0.011
0.306,0.691,0.017,0.012
0.303,0.691,0.015,0.010
0.300,0.691,0.015,0.011
TERMINATE SCAN MODE
