SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.692,0.016,0.011
0.303,0.692,0.016,0.011
0.306,0.692,0.015,0.010
0.309,0.692,0.016,0.011
0.312,0.692,0.016,0.011
0.315,0.692,0.018,0.013
0.318,0.692,0.021,0.014
0.321,0.692,0.024,0.017
0.324,0.691,0.036,0.025
0.327,0.691,0.043,0.030
0.330,0.691,0.049,0.034
0.333,0.690,0.066,0.046
0.336,0.690,0.089,0.061
0.339,0.688,0.139,0.096
0.342,0.685,0.227,0.156
0.345,0.682,0.340,0.232
0.348,0.677,0.493,0.334
0.351,0.671,0.634,0.426
0.354,0.665,0.814,0.541
0.357,0.662,0.858,0.568
0.360,0.653,1.084,0.708
0.363,0.638,1.376,0.877
0.366,0.613,1.735,1.063
0.369,0.545,2.147,1.169
0.372,0.296,2.497,0.740
0.375,0.216,2.537,0.549
0.378,0.162,2.558,0.415
0.381,0.135,2.565,0.345
0.384,0.126,2.571,0.323
0.387,0.122,2.574,0.315
0.390,0.114,2.575,0.292
0.393,0.108,2.580,0.279
0.396,0.104,2.580,0.267
0.399,0.100,2.583,0.258
0.402,0.097,2.587,0.250
0.405,0.095,2.586,0.245
0.408,0.094,2.588,0.244
0.411,0.093,2.587,0.240
0.414,0.093,2.586,0.240
0.417,0.093,2.589,0.240
0.420,0.091,2.585,0.236
0.423,0.091,2.587,0.235
0.426,0.091,2.583,0.234
0.429,0.090,2.588,0.232
0.432,0.089,2.585,0.230
0.435,0.089,2.582,0.230
0.438,0.089,2.583,0.229
0.441,0.088,2.589,0.229
0.444,0.088,2.584,0.229
0.447,0.088,2.585,0.229
0.450,0.088,2.586,0.228
0.450,0.088,2.586,0.229
0.447,0.089,2.590,0.232
0.444,0.091,2.586,0.235
0.441,0.094,2.585,0.243
0.438,0.101,2.585,0.261
0.435,0.119,2.575,0.308
0.432,0.318,2.482,0.788
0.429,0.647,1.211,0.784
0.426,0.679,0.423,0.287
0.423,0.688,0.135,0.093
0.420,0.691,0.042,0.029
0.417,0.692,0.022,0.015
0.414,0.692,0.016,0.011
0.411,0.692,0.016,0.011
0.408,0.692,0.015,0.010
0.405,0.692,0.016,0.011
0.402,0.692,0.015,0.010
0.399,0.692,0.016,0.011
0.396,0.692,0.016,0.011
0.393,0.692,0.015,0.010
0.390,0.692,0.015,0.010
0.387,0.692,0.016,0.011
0.384,0.692,0.018,0.012
0.381,0.692,0.017,0.012
0.378,0.692,0.015,0.010
0.375,0.692,0.015,0.010
0.372,0.692,0.015,0.010
0.369,0.692,0.015,0.010
0.366,0.692,0.015,0.010
0.363,0.692,0.015,0.010
0.360,0.692,0.017,0.012
0.357,0.692,0.016,0.011
0.354,0.692,0.015,0.010
0.351,0.692,0.015,0.011
0.348,0.692,0.018,0.012
0.345,0.692,0.015,0.010
0.342,0.692,0.015,0.011
0.339,0.692,0.015,0.010
0.336,0.692,0.015,0.010
0.333,0.692,0.016,0.011
0.330,0.692,0.015,0.010
0.327,0.692,0.016,0.011
0.324,0.692,0.015,0.011
0.321,0.692,0.017,0.012
0.318,0.692,0.015,0.010
0.315,0.692,0.015,0.011
0.312,0.692,0.015,0.011
0.309,0.692,0.016,0.011
0.306,0.692,0.016,0.011
0.303,0.692,0.015,0.010
0.300,0.692,0.015,0.010
TERMINATE SCAN MODE
