SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.709,0.015,0.011
0.303,0.708,0.015,0.011
0.306,0.708,0.016,0.012
0.309,0.708,0.014,0.010
0.312,0.707,0.016,0.012
0.315,0.707,0.016,0.011
0.318,0.707,0.017,0.012
0.321,0.706,0.018,0.012
0.324,0.706,0.021,0.015
0.327,0.706,0.025,0.018
0.330,0.705,0.031,0.022
0.333,0.704,0.039,0.028
0.336,0.704,0.049,0.034
0.339,0.703,0.065,0.046
0.342,0.702,0.083,0.058
0.345,0.701,0.110,0.077
0.348,0.700,0.145,0.102
0.351,0.698,0.184,0.129
0.354,0.697,0.243,0.169
0.357,0.694,0.312,0.217
0.360,0.691,0.409,0.282
0.363,0.687,0.520,0.357
0.366,0.681,0.655,0.447
0.369,0.674,0.837,0.564
0.372,0.666,1.038,0.691
0.375,0.655,1.278,0.837
0.378,0.639,1.568,1.002
0.381,0.614,1.913,1.175
0.384,0.570,2.266,1.291
0.387,0.400,2.496,0.999
0.390,0.231,2.540,0.586
0.393,0.169,2.548,0.430
0.396,0.141,2.552,0.359
0.399,0.125,2.559,0.320
0.402,0.114,2.558,0.293
0.405,0.108,2.561,0.276
0.408,0.103,2.561,0.263
0.411,0.098,2.557,0.251
0.414,0.095,2.559,0.244
0.417,0.093,2.556,0.237
0.420,0.091,2.555,0.232
0.423,0.089,2.556,0.228
0.426,0.087,2.547,0.223
0.429,0.087,2.549,0.221
0.432,0.085,2.548,0.217
0.435,0.085,2.551,0.216
0.438,0.084,2.556,0.215
0.441,0.083,2.551,0.213
0.444,0.083,2.552,0.211
0.447,0.083,2.552,0.211
0.450,0.082,2.553,0.209
0.450,0.082,2.550,0.209
0.447,0.082,2.553,0.210
0.444,0.083,2.549,0.211
0.441,0.084,2.551,0.213
0.438,0.084,2.546,0.214
0.435,0.085,2.548,0.216
0.432,0.086,2.548,0.218
0.429,0.086,2.545,0.219
0.426,0.088,2.547,0.223
0.423,0.089,2.547,0.226
0.420,0.091,2.548,0.231
0.417,0.093,2.549,0.236
0.414,0.095,2.545,0.242
0.411,0.098,2.547,0.250
0.408,0.102,2.546,0.260
0.405,0.107,2.543,0.273
0.402,0.114,2.544,0.290
0.399,0.125,2.538,0.317
0.396,0.141,2.540,0.358
0.393,0.171,2.535,0.433
0.390,0.237,2.518,0.597
0.387,0.416,2.477,1.032
0.384,0.565,2.231,1.261
0.381,0.607,1.896,1.151
0.378,0.631,1.553,0.980
0.375,0.646,1.275,0.824
0.372,0.657,1.041,0.684
0.369,0.665,0.839,0.558
0.366,0.672,0.658,0.442
0.363,0.676,0.523,0.354
0.360,0.680,0.410,0.279
0.357,0.683,0.313,0.214
0.354,0.686,0.244,0.167
0.351,0.687,0.190,0.130
0.348,0.688,0.143,0.099
0.345,0.689,0.109,0.075
0.342,0.690,0.084,0.058
0.339,0.690,0.071,0.049
0.336,0.691,0.052,0.036
0.333,0.691,0.038,0.026
0.330,0.691,0.031,0.022
0.327,0.691,0.025,0.017
0.324,0.691,0.021,0.015
0.321,0.691,0.017,0.012
0.318,0.691,0.016,0.011
0.315,0.691,0.015,0.010
0.312,0.691,0.015,0.010
0.309,0.691,0.016,0.011
0.306,0.691,0.015,0.010
0.303,0.691,0.015,0.010
0.300,0.691,0.015,0.010
TERMINATE SCAN MODE
