SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.703,0.015,0.011
0.303,0.703,0.016,0.011
0.306,0.703,0.015,0.010
0.309,0.703,0.015,0.011
0.312,0.703,0.015,0.011
0.315,0.703,0.016,0.011
0.318,0.703,0.016,0.011
0.321,0.703,0.015,0.011
0.324,0.703,0.018,0.013
0.327,0.703,0.020,0.014
0.330,0.703,0.025,0.018
0.333,0.703,0.030,0.021
0.336,0.702,0.038,0.027
0.339,0.702,0.050,0.035
0.342,0.702,0.062,0.044
0.345,0.701,0.083,0.058
0.348,0.700,0.110,0.077
0.351,0.699,0.142,0.099
0.354,0.698,0.188,0.131
0.357,0.697,0.241,0.168
0.360,0.694,0.321,0.223
0.363,0.691,0.410,0.284
0.366,0.688,0.531,0.365
0.369,0.682,0.682,0.466
0.372,0.676,0.857,0.579
0.375,0.667,1.067,0.712
0.378,0.655,1.328,0.871
0.381,0.636,1.647,1.047
0.384,0.603,1.982,1.196
0.387,0.483,2.283,1.103
0.390,0.260,2.339,0.607
0.393,0.174,2.357,0.410
0.396,0.137,2.364,0.325
0.399,0.118,2.363,0.280
0.402,0.106,2.369,0.252
0.405,0.099,2.369,0.234
0.408,0.093,2.371,0.221
0.411,0.089,2.375,0.211
0.414,0.086,2.375,0.204
0.417,0.083,2.374,0.198
0.420,0.081,2.377,0.194
0.423,0.080,2.373,0.189
0.426,0.078,2.380,0.187
0.429,0.077,2.377,0.183
0.432,0.076,2.378,0.181
0.435,0.075,2.378,0.179
0.438,0.075,2.375,0.177
0.441,0.074,2.379,0.176
0.444,0.074,2.382,0.175
0.447,0.073,2.380,0.174
0.450,0.073,2.381,0.173
0.450,0.073,2.379,0.172
0.447,0.073,2.378,0.174
0.444,0.074,2.382,0.176
0.441,0.074,2.379,0.176
0.438,0.075,2.381,0.178
0.435,0.076,2.386,0.180
0.432,0.076,2.379,0.181
0.429,0.077,2.381,0.184
0.426,0.079,2.381,0.187
0.423,0.080,2.383,0.191
0.420,0.082,2.383,0.195
0.417,0.084,2.378,0.199
0.414,0.086,2.379,0.205
0.411,0.090,2.377,0.213
0.408,0.094,2.376,0.223
0.405,0.100,2.378,0.237
0.402,0.108,2.375,0.255
0.399,0.120,2.374,0.285
0.396,0.141,2.377,0.335
0.393,0.182,2.365,0.429
0.390,0.279,2.354,0.657
0.387,0.515,2.272,1.169
0.384,0.608,1.966,1.196
0.381,0.638,1.636,1.044
0.378,0.657,1.320,0.867
0.375,0.669,1.064,0.712
0.372,0.677,0.859,0.582
0.369,0.684,0.687,0.469
0.366,0.689,0.529,0.365
0.363,0.693,0.411,0.285
0.360,0.695,0.322,0.224
0.357,0.698,0.245,0.171
0.354,0.700,0.188,0.131
0.351,0.701,0.146,0.102
0.348,0.702,0.111,0.078
0.345,0.703,0.083,0.058
0.342,0.703,0.063,0.044
0.339,0.704,0.048,0.034
0.336,0.704,0.038,0.027
0.333,0.704,0.030,0.021
0.330,0.704,0.025,0.018
0.327,0.705,0.021,0.014
0.324,0.705,0.018,0.012
0.321,0.704,0.015,0.011
0.318,0.705,0.016,0.011
0.315,0.705,0.015,0.011
0.312,0.705,0.016,0.011
0.309,0.705,0.016,0.011
0.306,0.705,0.016,0.011
0.303,0.705,0.015,0.011
0.300,0.705,0.018,0.012
TERMINATE SCAN MODE
