SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.708,0.015,0.011
0.303,0.708,0.015,0.011
0.306,0.708,0.016,0.012
0.309,0.707,0.015,0.011
0.312,0.707,0.017,0.012
0.315,0.707,0.015,0.011
0.318,0.706,0.017,0.012
0.321,0.706,0.020,0.014
0.324,0.706,0.021,0.015
0.327,0.705,0.029,0.020
0.330,0.705,0.031,0.022
0.333,0.704,0.039,0.028
0.336,0.704,0.050,0.035
0.339,0.703,0.065,0.045
0.342,0.702,0.084,0.059
0.345,0.702,0.111,0.078
0.348,0.700,0.146,0.103
0.351,0.699,0.187,0.131
0.354,0.697,0.246,0.172
0.357,0.695,0.316,0.220
0.360,0.691,0.415,0.287
0.363,0.688,0.525,0.361
0.366,0.683,0.668,0.456
0.369,0.676,0.844,0.571
0.372,0.668,1.046,0.699
0.375,0.658,1.297,0.853
0.378,0.643,1.581,1.016
0.381,0.618,1.937,1.196
0.384,0.572,2.287,1.309
0.387,0.413,2.535,1.046
0.390,0.237,2.578,0.610
0.393,0.173,2.580,0.446
0.396,0.142,2.580,0.365
0.399,0.125,2.583,0.324
0.402,0.115,2.582,0.297
0.405,0.108,2.579,0.278
0.408,0.103,2.583,0.265
0.411,0.098,2.581,0.254
0.414,0.095,2.583,0.247
0.417,0.093,2.584,0.240
0.420,0.091,2.580,0.235
0.423,0.089,2.583,0.231
0.426,0.088,2.585,0.227
0.429,0.087,2.581,0.224
0.432,0.086,2.586,0.222
0.435,0.085,2.585,0.220
0.438,0.085,2.587,0.219
0.441,0.084,2.586,0.217
0.444,0.083,2.586,0.215
0.447,0.083,2.589,0.214
0.450,0.082,2.585,0.213
0.450,0.082,2.584,0.213
0.447,0.083,2.581,0.214
0.444,0.083,2.580,0.214
0.441,0.084,2.583,0.216
0.438,0.084,2.581,0.218
0.435,0.085,2.578,0.219
0.432,0.086,2.583,0.222
0.429,0.087,2.579,0.224
0.426,0.088,2.582,0.228
0.423,0.090,2.585,0.232
0.420,0.092,2.585,0.237
0.417,0.094,2.588,0.243
0.414,0.097,2.589,0.251
0.411,0.101,2.587,0.261
0.408,0.106,2.589,0.275
0.405,0.112,2.588,0.289
0.402,0.124,2.587,0.321
0.399,0.151,2.585,0.391
0.396,0.182,2.579,0.470
0.393,0.246,2.569,0.632
0.390,0.353,2.493,0.880
0.387,0.462,2.322,1.072
0.384,0.560,2.077,1.163
0.381,0.611,1.803,1.102
0.378,0.639,1.465,0.936
0.375,0.654,1.167,0.763
0.372,0.664,0.945,0.627
0.369,0.671,0.767,0.514
0.366,0.676,0.620,0.419
0.363,0.680,0.503,0.342
0.360,0.683,0.403,0.275
0.357,0.686,0.303,0.208
0.354,0.688,0.225,0.155
0.351,0.689,0.171,0.118
0.348,0.691,0.134,0.092
0.345,0.691,0.098,0.068
0.342,0.692,0.081,0.056
0.339,0.692,0.063,0.044
0.336,0.693,0.048,0.033
0.333,0.693,0.038,0.026
0.330,0.693,0.031,0.021
0.327,0.693,0.025,0.017
0.324,0.693,0.021,0.014
0.321,0.693,0.018,0.013
0.318,0.693,0.016,0.011
0.315,0.693,0.016,0.011
0.312,0.693,0.018,0.012
0.309,0.693,0.015,0.011
0.306,0.693,0.015,0.011
0.303,0.692,0.015,0.010
0.300,0.692,0.017,0.012
TERMINATE SCAN MODE
