SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.693,0.016,0.011
0.303,0.693,0.016,0.011
0.306,0.693,0.015,0.010
0.309,0.693,0.018,0.013
0.312,0.693,0.015,0.011
0.315,0.692,0.015,0.010
0.318,0.692,0.017,0.012
0.321,0.692,0.018,0.013
0.324,0.691,0.022,0.015
0.327,0.691,0.026,0.018
0.330,0.691,0.031,0.022
0.333,0.690,0.041,0.028
0.336,0.690,0.051,0.035
0.339,0.689,0.065,0.045
0.342,0.688,0.088,0.061
0.345,0.687,0.112,0.077
0.348,0.685,0.150,0.103
0.351,0.683,0.194,0.133
0.354,0.681,0.253,0.173
0.357,0.678,0.324,0.220
0.360,0.673,0.423,0.285
0.363,0.669,0.539,0.360
0.366,0.662,0.677,0.448
0.369,0.653,0.868,0.567
0.372,0.641,1.080,0.693
0.375,0.627,1.317,0.826
0.378,0.605,1.619,0.980
0.381,0.568,1.966,1.117
0.384,0.502,2.280,1.144
0.387,0.320,2.446,0.783
0.390,0.198,2.483,0.491
0.393,0.151,2.493,0.377
0.396,0.129,2.499,0.321
0.399,0.115,2.506,0.288
0.402,0.106,2.499,0.265
0.405,0.100,2.509,0.251
0.408,0.095,2.508,0.238
0.411,0.091,2.507,0.229
0.414,0.089,2.510,0.223
0.417,0.087,2.509,0.218
0.420,0.085,2.512,0.213
0.423,0.083,2.515,0.209
0.426,0.082,2.509,0.206
0.429,0.081,2.513,0.204
0.432,0.080,2.513,0.201
0.435,0.079,2.513,0.199
0.438,0.079,2.515,0.198
0.441,0.078,2.510,0.196
0.444,0.078,2.513,0.195
0.447,0.077,2.517,0.194
0.450,0.076,2.514,0.192
0.450,0.077,2.515,0.193
0.447,0.077,2.513,0.194
0.444,0.078,2.513,0.195
0.441,0.078,2.511,0.196
0.438,0.079,2.509,0.197
0.435,0.079,2.511,0.199
0.432,0.080,2.509,0.201
0.429,0.081,2.508,0.203
0.426,0.083,2.512,0.207
0.423,0.083,2.509,0.209
0.420,0.085,2.510,0.214
0.417,0.087,2.512,0.219
0.414,0.089,2.509,0.224
0.411,0.092,2.513,0.232
0.408,0.096,2.509,0.242
0.405,0.101,2.507,0.254
0.402,0.108,2.507,0.271
0.399,0.118,2.499,0.295
0.396,0.134,2.501,0.335
0.393,0.161,2.491,0.402
0.390,0.219,2.477,0.541
0.387,0.363,2.428,0.881
0.384,0.521,2.224,1.158
0.381,0.575,1.885,1.083
0.378,0.606,1.547,0.937
0.375,0.626,1.250,0.782
0.372,0.638,1.035,0.661
0.369,0.648,0.834,0.541
0.366,0.657,0.651,0.428
0.363,0.663,0.519,0.344
0.360,0.667,0.409,0.273
0.357,0.671,0.308,0.207
0.354,0.674,0.241,0.162
0.351,0.676,0.186,0.126
0.348,0.677,0.144,0.098
0.345,0.678,0.107,0.073
0.342,0.679,0.082,0.056
0.339,0.680,0.063,0.043
0.336,0.680,0.047,0.032
0.333,0.680,0.039,0.027
0.330,0.681,0.031,0.021
0.327,0.681,0.024,0.017
0.324,0.681,0.020,0.014
0.321,0.681,0.018,0.012
0.318,0.681,0.015,0.010
0.315,0.681,0.015,0.010
0.312,0.681,0.015,0.010
0.309,0.681,0.015,0.010
0.306,0.681,0.015,0.010
0.303,0.681,0.016,0.011
0.300,0.681,0.015,0.010
TERMINATE SCAN MODE
