SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.664,0.016,0.011
0.303,0.664,0.015,0.010
0.306,0.664,0.015,0.010
0.309,0.663,0.015,0.010
0.312,0.663,0.017,0.011
0.315,0.663,0.016,0.011
0.318,0.663,0.019,0.013
0.321,0.663,0.018,0.012
0.324,0.662,0.021,0.014
0.327,0.662,0.025,0.017
0.330,0.661,0.032,0.021
0.333,0.661,0.040,0.026
0.336,0.661,0.049,0.033
0.339,0.660,0.067,0.044
0.342,0.659,0.086,0.057
0.345,0.658,0.111,0.073
0.348,0.657,0.148,0.097
0.351,0.655,0.190,0.124
0.354,0.653,0.243,0.158
0.357,0.650,0.318,0.207
0.360,0.646,0.416,0.269
0.363,0.642,0.531,0.341
0.366,0.637,0.672,0.428
0.369,0.629,0.862,0.542
0.372,0.619,1.072,0.663
0.375,0.606,1.325,0.803
0.378,0.586,1.635,0.958
0.381,0.554,2.004,1.111
0.384,0.498,2.371,1.182
0.387,0.348,2.608,0.908
0.390,0.203,2.628,0.533
0.393,0.152,2.628,0.399
0.396,0.128,2.632,0.336
0.399,0.114,2.634,0.300
0.402,0.104,2.631,0.274
0.405,0.098,2.633,0.257
0.408,0.093,2.635,0.245
0.411,0.089,2.633,0.234
0.414,0.086,2.633,0.227
0.417,0.084,2.626,0.220
0.420,0.082,2.629,0.216
0.423,0.080,2.629,0.211
0.426,0.079,2.621,0.207
0.429,0.078,2.627,0.205
0.432,0.077,2.629,0.203
0.435,0.076,2.627,0.200
0.438,0.076,2.628,0.199
0.441,0.075,2.628,0.197
0.444,0.074,2.629,0.195
0.447,0.074,2.630,0.194
0.450,0.073,2.631,0.193
0.450,0.073,2.633,0.193
0.447,0.074,2.631,0.194
0.444,0.074,2.630,0.195
0.441,0.075,2.627,0.196
0.438,0.075,2.625,0.198
0.435,0.076,2.627,0.200
0.432,0.077,2.626,0.202
0.429,0.078,2.627,0.204
0.426,0.079,2.625,0.207
0.423,0.080,2.625,0.211
0.420,0.082,2.629,0.215
0.417,0.084,2.630,0.221
0.414,0.086,2.626,0.226
0.411,0.089,2.632,0.235
0.408,0.093,2.632,0.245
0.405,0.098,2.628,0.257
0.402,0.105,2.631,0.275
0.399,0.114,2.629,0.301
0.396,0.129,2.630,0.340
0.393,0.155,2.627,0.407
0.390,0.211,2.625,0.553
0.387,0.367,2.594,0.952
0.384,0.497,2.337,1.163
0.381,0.549,1.980,1.088
0.378,0.580,1.619,0.940
0.375,0.599,1.324,0.793
0.372,0.612,1.074,0.657
0.369,0.621,0.862,0.536
0.366,0.629,0.673,0.424
0.363,0.635,0.532,0.338
0.360,0.639,0.417,0.266
0.357,0.642,0.320,0.205
0.354,0.644,0.247,0.159
0.351,0.646,0.189,0.122
0.348,0.647,0.148,0.096
0.345,0.648,0.111,0.072
0.342,0.649,0.086,0.056
0.339,0.650,0.067,0.044
0.336,0.650,0.050,0.033
0.333,0.650,0.040,0.026
0.330,0.651,0.032,0.021
0.327,0.651,0.027,0.017
0.324,0.651,0.024,0.015
0.321,0.651,0.018,0.012
0.318,0.651,0.016,0.010
0.315,0.651,0.017,0.011
0.312,0.651,0.016,0.010
0.309,0.651,0.015,0.010
0.306,0.651,0.015,0.010
0.303,0.650,0.015,0.010
0.300,0.650,0.015,0.010
TERMINATE SCAN MODE
