SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.570,0.016,0.009
0.303,0.572,0.014,0.008
0.306,0.557,0.016,0.009
0.309,0.543,0.018,0.010
0.312,0.538,0.015,0.008
0.315,0.545,0.015,0.008
0.318,0.543,0.016,0.009
0.321,0.540,0.019,0.010
0.324,0.541,0.022,0.012
0.327,0.536,0.026,0.014
0.330,0.534,0.030,0.016
0.333,0.536,0.038,0.020
0.336,0.538,0.052,0.028
0.339,0.534,0.070,0.037
0.342,0.532,0.092,0.049
0.345,0.531,0.116,0.061
0.348,0.528,0.149,0.079
0.351,0.525,0.185,0.097
0.354,0.522,0.243,0.127
0.357,0.519,0.294,0.153
0.360,0.511,0.401,0.205
0.363,0.502,0.520,0.261
0.366,0.490,0.633,0.310
0.369,0.474,0.804,0.381
0.372,0.449,1.017,0.456
0.375,0.418,1.212,0.507
0.378,0.359,1.452,0.521
0.381,0.283,1.673,0.473
0.384,0.220,1.836,0.404
0.387,0.173,1.971,0.342
0.390,0.130,2.108,0.274
0.393,0.111,2.159,0.239
0.396,0.102,2.190,0.223
0.399,0.102,2.405,0.246
0.402,0.097,2.448,0.237
0.405,0.091,2.447,0.223
0.408,0.087,2.448,0.213
0.411,0.083,2.450,0.203
0.414,0.080,2.438,0.196
0.417,0.078,2.445,0.191
0.420,0.076,2.442,0.186
0.423,0.071,2.337,0.167
0.426,0.070,2.334,0.164
0.429,0.070,2.351,0.164
0.432,0.071,2.415,0.171
0.435,0.071,2.430,0.172
0.438,0.070,2.439,0.171
0.441,0.070,2.445,0.171
0.444,0.069,2.440,0.169
0.447,0.069,2.441,0.168
0.450,0.068,2.441,0.167
0.450,0.069,2.436,0.167
0.447,0.069,2.432,0.168
0.444,0.069,2.437,0.169
0.441,0.070,2.434,0.169
0.438,0.071,2.441,0.172
0.435,0.071,2.443,0.174
0.432,0.072,2.443,0.176
0.429,0.073,2.443,0.178
0.426,0.074,2.439,0.180
0.423,0.075,2.438,0.183
0.420,0.077,2.437,0.187
0.417,0.079,2.439,0.192
0.414,0.081,2.443,0.198
0.411,0.084,2.443,0.205
0.408,0.088,2.444,0.215
0.405,0.093,2.440,0.226
0.402,0.100,2.434,0.243
0.399,0.109,2.439,0.267
0.396,0.126,2.431,0.306
0.393,0.158,2.427,0.383
0.390,0.218,2.414,0.527
0.387,0.296,2.240,0.664
0.384,0.423,2.025,0.855
0.381,0.476,1.676,0.797
0.378,0.500,1.315,0.658
0.375,0.515,1.069,0.550
0.372,0.526,0.872,0.459
0.369,0.531,0.708,0.376
0.366,0.538,0.552,0.297
0.363,0.542,0.435,0.236
0.360,0.544,0.351,0.191
0.357,0.549,0.258,0.142
0.354,0.557,0.204,0.113
0.351,0.559,0.158,0.088
0.348,0.552,0.123,0.068
0.345,0.555,0.089,0.049
0.342,0.555,0.072,0.040
0.339,0.557,0.057,0.032
0.336,0.558,0.041,0.023
0.333,0.557,0.034,0.019
0.330,0.558,0.027,0.015
0.327,0.555,0.023,0.013
0.324,0.556,0.019,0.010
0.321,0.558,0.018,0.010
0.318,0.572,0.015,0.009
0.315,0.569,0.015,0.008
0.312,0.568,0.015,0.008
0.309,0.565,0.015,0.008
0.306,0.565,0.015,0.009
0.303,0.565,0.015,0.008
0.300,0.564,0.015,0.009
TERMINATE SCAN MODE
