SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.663,0.015,0.010
0.303,0.663,0.015,0.010
0.306,0.663,0.017,0.011
0.309,0.663,0.015,0.010
0.312,0.663,0.015,0.010
0.315,0.663,0.016,0.011
0.318,0.662,0.015,0.010
0.321,0.662,0.018,0.012
0.324,0.662,0.022,0.014
0.327,0.662,0.025,0.017
0.330,0.662,0.031,0.020
0.333,0.661,0.039,0.026
0.336,0.661,0.051,0.034
0.339,0.660,0.063,0.042
0.342,0.660,0.083,0.055
0.345,0.659,0.105,0.069
0.348,0.657,0.142,0.093
0.351,0.656,0.180,0.118
0.354,0.653,0.236,0.154
0.357,0.650,0.302,0.196
0.360,0.646,0.402,0.260
0.363,0.641,0.511,0.328
0.366,0.635,0.648,0.411
0.369,0.626,0.829,0.519
0.372,0.615,1.037,0.638
0.375,0.600,1.284,0.771
0.378,0.579,1.578,0.914
0.381,0.543,1.950,1.060
0.384,0.489,2.293,1.121
0.387,0.336,2.510,0.844
0.390,0.195,2.522,0.493
0.393,0.146,2.524,0.369
0.396,0.122,2.517,0.308
0.399,0.109,2.524,0.275
0.402,0.100,2.525,0.252
0.405,0.094,2.519,0.236
0.408,0.089,2.523,0.224
0.411,0.085,2.521,0.215
0.414,0.083,2.524,0.208
0.417,0.080,2.525,0.203
0.420,0.078,2.520,0.197
0.423,0.077,2.525,0.194
0.426,0.075,2.521,0.190
0.429,0.075,2.526,0.188
0.432,0.074,2.525,0.186
0.435,0.073,2.523,0.183
0.438,0.072,2.528,0.182
0.441,0.071,2.522,0.180
0.444,0.071,2.520,0.178
0.447,0.070,2.523,0.178
0.450,0.070,2.522,0.176
0.450,0.070,2.525,0.177
0.447,0.071,2.523,0.178
0.444,0.071,2.521,0.180
0.441,0.072,2.523,0.181
0.438,0.072,2.523,0.182
0.435,0.073,2.524,0.184
0.432,0.074,2.525,0.186
0.429,0.075,2.522,0.188
0.426,0.076,2.527,0.191
0.423,0.077,2.528,0.195
0.420,0.079,2.522,0.199
0.417,0.081,2.526,0.204
0.414,0.083,2.525,0.210
0.411,0.086,2.523,0.218
0.408,0.090,2.525,0.227
0.405,0.095,2.520,0.239
0.402,0.101,2.522,0.256
0.399,0.112,2.522,0.282
0.396,0.127,2.519,0.319
0.393,0.154,2.521,0.388
0.390,0.213,2.517,0.537
0.387,0.375,2.492,0.934
0.384,0.503,2.224,1.118
0.381,0.553,1.864,1.030
0.378,0.584,1.512,0.883
0.375,0.604,1.222,0.738
0.372,0.617,0.995,0.614
0.369,0.627,0.803,0.503
0.366,0.636,0.630,0.401
0.363,0.642,0.494,0.317
0.360,0.646,0.393,0.254
0.357,0.651,0.297,0.193
0.354,0.654,0.226,0.147
0.351,0.656,0.175,0.115
0.348,0.657,0.132,0.087
0.345,0.658,0.102,0.067
0.342,0.659,0.077,0.051
0.339,0.660,0.059,0.039
0.336,0.661,0.045,0.030
0.333,0.661,0.037,0.024
0.330,0.661,0.031,0.020
0.327,0.661,0.023,0.015
0.324,0.662,0.020,0.013
0.321,0.662,0.017,0.011
0.318,0.662,0.015,0.010
0.315,0.662,0.015,0.010
0.312,0.662,0.015,0.010
0.309,0.662,0.015,0.010
0.306,0.662,0.015,0.010
0.303,0.662,0.015,0.010
0.300,0.662,0.018,0.012
TERMINATE SCAN MODE
